defect,factor,threshold_z,threshold_raw_approx,risky_direction,defect_rate_safe_pct,defect_rate_risky_pct,risk_ratio,n_safe,n_risky,source,note,current_status,usable_for_alert
Chipping,Bottom_Kerf,3.65,,high_is_risky,0.236,42.46,180.16,145963,28554,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,confirmed_monitor,True
Chipping,Kerf_Width_Profile,3.4511,50.50736,high_is_risky,0.29,50.255,173.17,170572,29428,JHdaimma db_03,pure 라벨(상대 결함 동시발생 제외) 기준. Jun C유형 방식.,confirmed_monitor,True
Chipping,Kerf_Width_Profile,3.3641,,high_is_risky,0.279,43.074,154.31,146521,27996,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,confirmed_monitor,True
Chipping,Top_Kerf,3.4838,,high_is_risky,0.304,42.689,140.4,146353,28164,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,confirmed_monitor,True
Chipping,Top_Kerf,3.9304,50.49521,high_is_risky,0.379,50.22,132.41,170856,29144,JHdaimma db_03,pure 라벨(상대 결함 동시발생 제외) 기준. Jun C유형 방식.,confirmed_monitor,True
Chipping,Bottom_Kerf,4.6543,50.57597,high_is_risky,0.39,50.433,129.31,171017,28983,JHdaimma db_03,pure 라벨(상대 결함 동시발생 제외) 기준. Jun C유형 방식.,confirmed_monitor,True
Chipping,Head_Temp,2.5796,42.86491,high_is_risky,0.638,47.107,73.88,169854,30146,JHdaimma db_03,pure 라벨(상대 결함 동시발생 제외) 기준. Jun C유형 방식.,confirmed_cause,True
Chipping,Head_Temp,2.5796,,high_is_risky,0.645,40.673,63.05,146181,28336,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,confirmed_cause,True
Chipping,Power_Efficiency,-2.2606,94.61268,low_is_risky,47.274,1.252,37.75,27768,172232,JHdaimma db_03,pure 라벨(상대 결함 동시발생 제외) 기준. Jun C유형 방식.,confirmed_cause,True
Chipping,Power_Efficiency,-2.2523,,low_is_risky,40.356,1.241,32.52,26338,148179,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,confirmed_cause,True
Chipping,Laser_Power,-2.3866,18.28278,low_is_risky,51.886,2.284,22.71,21603,178397,JHdaimma db_03,pure 라벨(상대 결함 동시발생 제외) 기준. Jun C유형 방식.,confirmed_cause,True
Chipping,Laser_Power,-2.1935,,low_is_risky,41.926,2.041,20.54,22330,152187,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,confirmed_cause,True
Chipping,Laser_Cleaning_Demand,-2.292,,low_is_risky,42.479,2.324,18.28,20949,153568,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,confirmed_monitor,True
Chipping,Vibration,2.2718,0.20479,high_is_risky,2.557,45.937,17.96,176557,23443,JHdaimma db_03,pure 라벨(상대 결함 동시발생 제외) 기준. Jun C유형 방식.,confirmed_cause,True
Chipping,Laser_Centering_Position,3.4457,0.53319,high_is_risky,3.136,55.912,17.83,182925,17075,JHdaimma db_03,pure 라벨(상대 결함 동시발생 제외) 기준. Jun C유형 방식.,confirmed_cause,True
Chipping,Vibration,2.0639,,high_is_risky,2.207,38.219,17.32,150589,23928,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,confirmed_cause,True
Chipping,Package_Size_Asymmetry,3.7999,0.00138,high_is_risky,3.417,55.893,16.36,183896,16104,JHdaimma db_03,pure 라벨(상대 결함 동시발생 제외) 기준. Jun C유형 방식.,confirmed_monitor,True
Chipping,Groove_Depth,-2.4344,44.58904,low_is_risky,52.984,3.564,14.87,16505,183495,JHdaimma db_03,pure 라벨(상대 결함 동시발생 제외) 기준. Jun C유형 방식.,confirmed_monitor,True
Chipping,Laser_Centering_Position,3.4457,,high_is_risky,3.116,45.453,14.59,157913,16604,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,confirmed_cause,True
Chipping,Package_Size_Asymmetry,3.6755,,high_is_risky,3.373,44.95,13.33,158686,15831,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,confirmed_monitor,True
Chipping,Kerf_Angle,1.8611,,high_is_risky,2.678,34.825,13.0,150273,24244,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,candidate,True
Chipping,Groove_Depth,-2.3377,,low_is_risky,42.297,3.427,12.34,16689,157828,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,confirmed_monitor,True
Chipping,Package_Size_1,-2.5456,,low_is_risky,43.297,3.516,12.32,15918,158599,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,candidate,True
Chipping,Package_Size_4,2.5481,,high_is_risky,3.55,43.242,12.18,158713,15804,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,candidate,True
Chipping,Package_Size_2,-1.9676,,low_is_risky,34.516,4.673,7.39,14454,160063,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,candidate,True
Chipping,Package_Size_3,1.9095,,high_is_risky,4.613,33.879,7.34,159422,15095,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,candidate,True
Chipping,Surface_Roughness,0.8908,,high_is_risky,4.799,14.149,2.95,130746,43771,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,confirmed_monitor,True
Chipping,CLN_Flow,-2.346,,high_is_risky,0.262,7.716,29.49,13378,161139,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Chipping,Cooling_Flow,-1.3199,,low_is_risky,21.169,4.861,4.36,24437,150080,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,needs_domain_review,False
Chipping,Cleaning_Load_Ratio,-1.2915,,low_is_risky,20.439,5.241,3.9,21860,152657,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Chipping,Process_Time,-2.9968,,high_is_risky,2.232,7.151,3.2,224,174293,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Chipping,Cleaning_Capacity,-2.3245,,high_is_risky,2.39,7.236,3.03,3306,171211,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Chipping,Cooling_Thermal_Load,1.1768,,high_is_risky,5.766,15.173,2.63,148952,25565,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Chipping,Coating_Uniformity,2.7221,,low_is_risky,7.15,3.846,1.86,174231,286,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Chipping,CLN_Pressure,-2.772,,high_is_risky,4.535,7.151,1.58,441,174076,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Chipping,Cooling_Water_Temp,3.0766,,high_is_risky,7.14,10.476,1.47,174307,210,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Chipping,Beam_Diameter,-2.5025,,high_is_risky,4.985,7.157,1.44,1003,173514,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Chipping,Laser_Voltage,2.8824,,high_is_risky,7.138,10.116,1.42,174171,346,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
Chipping,CLN_Time,2.4955,,high_is_risky,7.128,9.617,1.35,173394,1123,Jun 통합본 05,DecisionTree stump(depth=1) 경계값,insufficient,False
