target,case_rank,Lot_ID,Strip_ID,Machine_ID,Product_ID,Recipe_ID,source_dataset,predicted_risk,actual_defect,contrib_rank,factor,shap_value,factor_zscore,factor_raw,interpretation
Chipping,1,LOT001889,STRIP494839,DP02,PKG_E,RCP_2,r1,0.9781,1,1,Power_Efficiency,1.03131,-10.853,93.193,위험을 높임
Chipping,1,LOT001889,STRIP494839,DP02,PKG_E,RCP_2,r1,0.9781,1,2,Laser_Power,0.73072,-5.926,18.0,위험을 높임
Chipping,1,LOT001889,STRIP494839,DP02,PKG_E,RCP_2,r1,0.9781,1,3,Head_Temp,0.6517,4.227,43.442,위험을 높임
Chipping,1,LOT001889,STRIP494839,DP02,PKG_E,RCP_2,r1,0.9781,1,4,Laser_Centering_Position,0.32675,7.977,1.242,위험을 높임
Chipping,1,LOT001889,STRIP494839,DP02,PKG_E,RCP_2,r1,0.9781,1,5,Coating_Flow,0.23061,2.2,51.136,위험을 높임
Chipping,2,LOT002915,STRIP860516,DP02,PKG_F,RCP_1,r1,0.9771,1,1,Power_Efficiency,0.9431,-14.292,92.637,위험을 높임
Chipping,2,LOT002915,STRIP860516,DP02,PKG_F,RCP_1,r1,0.9771,1,2,Laser_Power,0.85114,-6.323,17.962,위험을 높임
Chipping,2,LOT002915,STRIP860516,DP02,PKG_F,RCP_1,r1,0.9771,1,3,Head_Temp,0.60549,2.894,42.968,위험을 높임
Chipping,2,LOT002915,STRIP860516,DP02,PKG_F,RCP_1,r1,0.9771,1,4,CLN_Time,0.43498,2.506,16.249,위험을 높임
Chipping,2,LOT002915,STRIP860516,DP02,PKG_F,RCP_1,r1,0.9771,1,5,Laser_Centering_Position,0.31032,8.106,1.315,위험을 높임
Chipping,3,LOT008666,STRIP127966,DP02,PKG_B,RCP_7,r1,0.9754,1,1,Power_Efficiency,0.95378,-15.418,92.545,위험을 높임
Chipping,3,LOT008666,STRIP127966,DP02,PKG_B,RCP_7,r1,0.9754,1,2,Head_Temp,0.75906,5.596,43.782,위험을 높임
Chipping,3,LOT008666,STRIP127966,DP02,PKG_B,RCP_7,r1,0.9754,1,3,Laser_Power,0.687,-7.206,17.877,위험을 높임
Chipping,3,LOT008666,STRIP127966,DP02,PKG_B,RCP_7,r1,0.9754,1,4,Laser_Centering_Position,0.28115,9.092,1.379,위험을 높임
Chipping,3,LOT008666,STRIP127966,DP02,PKG_B,RCP_7,r1,0.9754,1,5,Coating_Flow,0.17895,2.068,51.018,위험을 높임
Chipping,4,LOT000810,STRIP376454,DP02,PKG_A,RCP_9,r1,0.9748,1,1,Power_Efficiency,0.83007,-16.291,92.292,위험을 높임
Chipping,4,LOT000810,STRIP376454,DP02,PKG_A,RCP_9,r1,0.9748,1,2,Laser_Power,0.70268,-4.561,18.086,위험을 높임
Chipping,4,LOT000810,STRIP376454,DP02,PKG_A,RCP_9,r1,0.9748,1,3,Head_Temp,0.66768,4.151,43.314,위험을 높임
Chipping,4,LOT000810,STRIP376454,DP02,PKG_A,RCP_9,r1,0.9748,1,4,Laser_Centering_Position,0.2954,7.932,1.185,위험을 높임
Chipping,4,LOT000810,STRIP376454,DP02,PKG_A,RCP_9,r1,0.9748,1,5,Feed_Speed,0.27633,-2.39,248.075,위험을 높임
Chipping,5,LOT005018,STRIP779986,DP02,PKG_B,RCP_6,r1,0.9747,1,1,Power_Efficiency,0.9889,-14.152,92.706,위험을 높임
Chipping,5,LOT005018,STRIP779986,DP02,PKG_B,RCP_6,r1,0.9747,1,2,Laser_Power,0.77449,-6.119,17.978,위험을 높임
Chipping,5,LOT005018,STRIP779986,DP02,PKG_B,RCP_6,r1,0.9747,1,3,Head_Temp,0.64444,3.634,43.197,위험을 높임
Chipping,5,LOT005018,STRIP779986,DP02,PKG_B,RCP_6,r1,0.9747,1,4,CLN_Time,0.4637,3.065,16.561,위험을 높임
Chipping,5,LOT005018,STRIP779986,DP02,PKG_B,RCP_6,r1,0.9747,1,5,Laser_Centering_Position,0.34161,6.456,0.978,위험을 높임
