factor,domain_expectation,decile,z_min,z_max,raw_median,n,n_micro_crack,micro_crack_rate_pct,lift_vs_overall
Cooling_Flow,낮을수록 위험,1,-5.31,-1.544,9.79,20005,591,2.9543,1.201
Cooling_Flow,낮을수록 위험,2,-1.544,-1.026,9.867,20000,493,2.465,1.002
Cooling_Flow,낮을수록 위험,3,-1.026,-0.674,9.91,20017,491,2.4529,0.997
Cooling_Flow,낮을수록 위험,4,-0.674,-0.377,9.942,19982,477,2.3871,0.97
Cooling_Flow,낮을수록 위험,5,-0.377,-0.106,9.971,20039,471,2.3504,0.955
Cooling_Flow,낮을수록 위험,6,-0.106,0.154,9.998,19959,457,2.2897,0.931
Cooling_Flow,낮을수록 위험,7,0.154,0.437,10.026,20028,507,2.5315,1.029
Cooling_Flow,낮을수록 위험,8,0.437,0.762,10.056,19979,497,2.4876,1.011
Cooling_Flow,낮을수록 위험,9,0.762,1.204,10.094,20048,457,2.2795,0.926
Cooling_Flow,낮을수록 위험,10,1.204,5.122,10.156,19943,480,2.4069,0.978
Cooling_Water_Temp,높을수록 위험,1,-4.744,-1.282,21.508,20000,519,2.595,1.055
Cooling_Water_Temp,높을수록 위험,2,-1.282,-0.843,21.692,20001,511,2.5549,1.038
Cooling_Water_Temp,높을수록 위험,3,-0.843,-0.528,21.8,19999,503,2.5151,1.022
Cooling_Water_Temp,높을수록 위험,4,-0.528,-0.256,21.886,20006,491,2.4543,0.997
Cooling_Water_Temp,높을수록 위험,5,-0.256,-0.003,21.964,19998,490,2.4502,0.996
Cooling_Water_Temp,높을수록 위험,6,-0.003,0.249,22.039,19999,471,2.3551,0.957
Cooling_Water_Temp,높을수록 위험,7,0.249,0.521,22.116,20002,491,2.4548,0.998
Cooling_Water_Temp,높을수록 위험,8,0.522,0.836,22.203,19998,450,2.2502,0.915
Cooling_Water_Temp,높을수록 위험,9,0.836,1.279,22.312,20000,526,2.63,1.069
Cooling_Water_Temp,높을수록 위험,10,1.279,4.687,22.495,19997,469,2.3454,0.953
