tier,defect,factor,role,action_type,watch_mode,domain_direction,domain_evidence,stat_pass,cliffs_delta,p_fdr,n_defect,n_normal,stat_method,stat_criterion,rf_pass,rf_importance,rf_importance_std,rf_rank,rf_criterion,rf_method,repro_pass,repro_state,delta_original,delta_r1,n_defect_original,n_machines_pass,comparison_group,baseline,tier_reason,sop_action,sop_check,sop_status,alert_threshold_z,alert_threshold_raw,normal_range_raw,risky_range_raw,rate_in_normal_pct,rate_in_risky_pct,risk_ratio,n_in_normal,n_in_risky,threshold_method,alert_usable,alert_warning,testability,pct_z_gt3,spec_LSL,spec_USL,spec_gap,has_official_spec,threshold_source_dataset,n_risky_original,defect_rate_risky_original_pct,n_risky_r1,defect_rate_risky_r1_pct
T1,Chipping,Power_Efficiency,원인(FDC),즉시조치,level,Power_Efficiency 감소 → Chipping 증가,멘토 확정,True,-0.9486,0.0,12468,149673,"Mann-Whitney U 양측검정 → Cliff's delta 환산, BH-FDR 다중비교 보정",p_FDR < 0.05 AND |delta| >= 0.2,True,0.081911,0.006201,2/39,상위 25%(=10위) 이내 AND 중요도 > 0,"RandomForest(트리 200, 최대깊이 8, class_weight=balanced) 학습 후 검증셋에서 한 컬럼씩 무작위 셔플 10회 → PR-AUC(average_precision) 하락폭 평균",False,판정불가(원본 표본부족),,-0.9214,3,2,"혼합 라벨 — Micro_Crack/Particle은 이진(해당 컬럼이 1이면 전부 불량), Chipping/Remain_Coat는 pure(나머지 3개 defect 동시 발생 행 제외). 비교군은 전 defect 공통으로 '확실한 정상품(is_normal)'만 쓴다.","OPCOND(Product_ID×Recipe_ID) 층별 정상군 median 기준, 산포는 MAD×1.4826 (강건 z-score)",방향일치 + 통계검정·RF 모두 통과. 재현성은 원본 표본 부족(pure 3건)으로 판정불가 — 실패 아님,,,SOP 미수령 — 멘토 제공 대기,-1.545,94.742,94.78 ~ 95.24,92.34 ~ 94.71,0.526,30.914,58.73,162434,37566,"DecisionTree stump(max_depth=1, class_weight=balanced)로 분할점 탐색",True,,검정 가능(이탈 충분),11.404,92.0,98.0,2.742,True,r1 주도(원본 기여 미미),6293,0.0,33236,35.215
T1,Chipping,Laser_Power,원인(FDC),즉시조치,level,Laser_Power 감소 → Chipping 증가,멘토 확정,True,-0.9186,0.0,12468,149673,"Mann-Whitney U 양측검정 → Cliff's delta 환산, BH-FDR 다중비교 보정",p_FDR < 0.05 AND |delta| >= 0.2,True,0.075377,0.006298,4/39,상위 25%(=10위) 이내 AND 중요도 > 0,"RandomForest(트리 200, 최대깊이 8, class_weight=balanced) 학습 후 검증셋에서 한 컬럼씩 무작위 셔플 10회 → PR-AUC(average_precision) 하락폭 평균",False,판정불가(원본 표본부족),,-0.9033,3,2,"혼합 라벨 — Micro_Crack/Particle은 이진(해당 컬럼이 1이면 전부 불량), Chipping/Remain_Coat는 pure(나머지 3개 defect 동시 발생 행 제외). 비교군은 전 defect 공통으로 '확실한 정상품(is_normal)'만 쓴다.","OPCOND(Product_ID×Recipe_ID) 층별 정상군 median 기준, 산포는 MAD×1.4826 (강건 z-score)",방향일치 + 통계검정·RF 모두 통과. 재현성은 원본 표본 부족(pure 3건)으로 판정불가 — 실패 아님,,,SOP 미수령 — 멘토 제공 대기,-1.337,18.38,18.39 ~ 18.63,17.79 ~ 18.37,0.891,27.954,31.36,160517,39483,"DecisionTree stump(max_depth=1, class_weight=balanced)로 분할점 탐색",True,,검정 가능(이탈 충분),9.114,17.8,19.2,0.58,True,양쪽 기여,9866,0.03,32053,34.811
T1,Chipping,Head_Temp,원인(FDC),즉시조치,level,Head_Temp 증가 → Chipping 증가,멘토 확정,True,0.9355,0.0,12468,149673,"Mann-Whitney U 양측검정 → Cliff's delta 환산, BH-FDR 다중비교 보정",p_FDR < 0.05 AND |delta| >= 0.2,True,0.052005,0.006822,8/39,상위 25%(=10위) 이내 AND 중요도 > 0,"RandomForest(트리 200, 최대깊이 8, class_weight=balanced) 학습 후 검증셋에서 한 컬럼씩 무작위 셔플 10회 → PR-AUC(average_precision) 하락폭 평균",False,판정불가(원본 표본부족),,0.8701,3,2,"혼합 라벨 — Micro_Crack/Particle은 이진(해당 컬럼이 1이면 전부 불량), Chipping/Remain_Coat는 pure(나머지 3개 defect 동시 발생 행 제외). 비교군은 전 defect 공통으로 '확실한 정상품(is_normal)'만 쓴다.","OPCOND(Product_ID×Recipe_ID) 층별 정상군 median 기준, 산포는 MAD×1.4826 (강건 z-score)",방향일치 + 통계검정·RF 모두 통과. 재현성은 원본 표본 부족(pure 3건)으로 판정불가 — 실패 아님,,,SOP 미수령 — 멘토 제공 대기,1.986,42.646,41.52 ~ 42.49,42.75 ~ 46.29,0.373,35.318,94.67,166456,33544,"DecisionTree stump(max_depth=1, class_weight=balanced)로 분할점 탐색",True,,검정 가능(이탈 충분),14.467,38.0,47.0,4.354,True,r1 주도(원본 기여 미미),2099,0.0,32239,36.862
T1,Remain_Coat,CLN_Pressure,원인(FDC),즉시조치,level,CLN_Pressure 감소 → Remain_Coat 증가,멘토 확정 (그 순간 값이 낮을 때 위험),True,-0.2548,8.06e-148,3545,149673,"Mann-Whitney U 양측검정 → Cliff's delta 환산, BH-FDR 다중비교 보정",p_FDR < 0.05 AND |delta| >= 0.2,True,0.028577,0.002772,3/39,상위 25%(=10위) 이내 AND 중요도 > 0,"RandomForest(트리 200, 최대깊이 8, class_weight=balanced) 학습 후 검증셋에서 한 컬럼씩 무작위 셔플 10회 → PR-AUC(average_precision) 하락폭 평균",True,통과,-0.5372,-0.1446,994,3,"혼합 라벨 — Micro_Crack/Particle은 이진(해당 컬럼이 1이면 전부 불량), Chipping/Remain_Coat는 pure(나머지 3개 defect 동시 발생 행 제외). 비교군은 전 defect 공통으로 '확실한 정상품(is_normal)'만 쓴다.","OPCOND(Product_ID×Recipe_ID) 층별 정상군 median 기준, 산포는 MAD×1.4826 (강건 z-score)",방향일치 + 통계검정·RF 모두 통과 + 두 데이터셋 재현,,,SOP 미수령 — 멘토 제공 대기,-1.494,297.272,297.63 ~ 303.34,294.65 ~ 297.04,1.307,7.846,6.0,185776,14224,"DecisionTree stump(max_depth=1, class_weight=balanced)로 분할점 탐색",True,,검정력 낮음(극단 이탈 희소),0.295,,,,False,양쪽 기여,8650,6.705,8595,6.55
T1,Remain_Coat,CLN_Flow,원인(FDC),즉시조치,level,CLN_Flow 감소 → Remain_Coat 증가,멘토 확정,True,-0.5702,0.0,3545,149673,"Mann-Whitney U 양측검정 → Cliff's delta 환산, BH-FDR 다중비교 보정",p_FDR < 0.05 AND |delta| >= 0.2,True,0.118855,0.005606,1/39,상위 25%(=10위) 이내 AND 중요도 > 0,"RandomForest(트리 200, 최대깊이 8, class_weight=balanced) 학습 후 검증셋에서 한 컬럼씩 무작위 셔플 10회 → PR-AUC(average_precision) 하락폭 평균",True,통과,-0.1247,-0.7135,994,1,"혼합 라벨 — Micro_Crack/Particle은 이진(해당 컬럼이 1이면 전부 불량), Chipping/Remain_Coat는 pure(나머지 3개 defect 동시 발생 행 제외). 비교군은 전 defect 공통으로 '확실한 정상품(is_normal)'만 쓴다.","OPCOND(Product_ID×Recipe_ID) 층별 정상군 median 기준, 산포는 MAD×1.4826 (강건 z-score)",방향일치 + 통계검정·RF 모두 통과 + 두 데이터셋 재현,,,SOP 미수령 — 멘토 제공 대기,-4.955,9.725,9.85 ~ 10.08,9.00 ~ 9.68,0.745,18.39,24.67,188358,11642,"DecisionTree stump(max_depth=1, class_weight=balanced)로 분할점 탐색",True,,검정 가능(이탈 충분),9.536,,,,False,r1 주도(원본 기여 미미),1576,9.074,10895,18.385
T2,Chipping,Cooling_Flow,원인(FDC),조건부조치,level,Cooling_Flow 감소 → Chipping 증가,멘토 확정,True,-0.5117,0.0,12468,149673,"Mann-Whitney U 양측검정 → Cliff's delta 환산, BH-FDR 다중비교 보정",p_FDR < 0.05 AND |delta| >= 0.2,False,-0.002135,0.00099,39/39,상위 25%(=10위) 이내 AND 중요도 > 0,"RandomForest(트리 200, 최대깊이 8, class_weight=balanced) 학습 후 검증셋에서 한 컬럼씩 무작위 셔플 10회 → PR-AUC(average_precision) 하락폭 평균",False,판정불가(원본 표본부족),,-0.4738,3,2,"혼합 라벨 — Micro_Crack/Particle은 이진(해당 컬럼이 1이면 전부 불량), Chipping/Remain_Coat는 pure(나머지 3개 defect 동시 발생 행 제외). 비교군은 전 defect 공통으로 '확실한 정상품(is_normal)'만 쓴다.","OPCOND(Product_ID×Recipe_ID) 층별 정상군 median 기준, 산포는 MAD×1.4826 (강건 z-score)",방향일치 + 2개 검정 중 1개만 통과 (통계검정),,,SOP 미수령 — 멘토 제공 대기,-0.684,9.934,9.94 ~ 10.17,9.72 ~ 9.92,3.262,13.305,4.08,140813,59187,"DecisionTree stump(max_depth=1, class_weight=balanced)로 분할점 탐색",True,,검정 가능(이탈 충분),0.996,,,,False,양쪽 기여,25960,0.0,39007,21.053
T2,Micro_Crack,Cooling_Flow,원인(FDC),조건부조치,level,Cooling_Flow 감소 → Micro_Crack 증가,멘토 확정,True,-0.3205,0.0,15413,149673,"Mann-Whitney U 양측검정 → Cliff's delta 환산, BH-FDR 다중비교 보정",p_FDR < 0.05 AND |delta| >= 0.2,False,0.001276,0.000915,21/39,상위 25%(=10위) 이내 AND 중요도 > 0,"RandomForest(트리 200, 최대깊이 8, class_weight=balanced) 학습 후 검증셋에서 한 컬럼씩 무작위 셔플 10회 → PR-AUC(average_precision) 하락폭 평균",False,실패(데이터셋간 방향 불일치),0.0482,-0.2841,41,2,"혼합 라벨 — Micro_Crack/Particle은 이진(해당 컬럼이 1이면 전부 불량), Chipping/Remain_Coat는 pure(나머지 3개 defect 동시 발생 행 제외). 비교군은 전 defect 공통으로 '확실한 정상품(is_normal)'만 쓴다.","OPCOND(Product_ID×Recipe_ID) 층별 정상군 median 기준, 산포는 MAD×1.4826 (강건 z-score)",방향일치 + 2개 검정 중 1개만 통과 (통계검정),,,SOP 미수령 — 멘토 제공 대기,-0.655,9.936,9.94 ~ 10.17,9.72 ~ 9.92,5.598,12.519,2.24,139059,60941,"DecisionTree stump(max_depth=1, class_weight=balanced)로 분할점 탐색",True,,검정 가능(이탈 충분),0.996,,,,False,양쪽 기여,26617,0.026,39609,4.322
T2,Particle,CLN_Flow,원인(FDC),조건부조치,level,CLN_Flow 감소 → Particle 증가,멘토 확정,False,-0.1497,5.2e-275,21371,149673,"Mann-Whitney U 양측검정 → Cliff's delta 환산, BH-FDR 다중비교 보정",p_FDR < 0.05 AND |delta| >= 0.2,True,0.055031,0.00256,2/39,상위 25%(=10위) 이내 AND 중요도 > 0,"RandomForest(트리 200, 최대깊이 8, class_weight=balanced) 학습 후 검증셋에서 한 컬럼씩 무작위 셔플 10회 → PR-AUC(average_precision) 하락폭 평균",True,통과,-0.0318,-0.2136,7792,1,"혼합 라벨 — Micro_Crack/Particle은 이진(해당 컬럼이 1이면 전부 불량), Chipping/Remain_Coat는 pure(나머지 3개 defect 동시 발생 행 제외). 비교군은 전 defect 공통으로 '확실한 정상품(is_normal)'만 쓴다.","OPCOND(Product_ID×Recipe_ID) 층별 정상군 median 기준, 산포는 MAD×1.4826 (강건 z-score)",방향일치 + 2개 검정 중 1개만 통과 (RandomForest),,,SOP 미수령 — 멘토 제공 대기,-5.106,9.722,9.85 ~ 10.08,9.00 ~ 9.67,9.16,35.937,3.92,188605,11395,"DecisionTree stump(max_depth=1, class_weight=balanced)로 분할점 탐색",True,,검정 가능(이탈 충분),9.536,,,,False,r1 주도(원본 기여 미미),1439,5.003,10884,4.309
T2,Particle,CLN_Pressure,원인(FDC),조건부조치,level,CLN_Pressure 감소 → Particle 증가,멘토 확정 (26.08.06 방향 정정),False,-0.069,7.85e-60,21371,149673,"Mann-Whitney U 양측검정 → Cliff's delta 환산, BH-FDR 다중비교 보정",p_FDR < 0.05 AND |delta| >= 0.2,True,0.005291,0.00101,5/39,상위 25%(=10위) 이내 AND 중요도 > 0,"RandomForest(트리 200, 최대깊이 8, class_weight=balanced) 학습 후 검증셋에서 한 컬럼씩 무작위 셔플 10회 → PR-AUC(average_precision) 하락폭 평균",True,통과,-0.0959,-0.0534,7792,0,"혼합 라벨 — Micro_Crack/Particle은 이진(해당 컬럼이 1이면 전부 불량), Chipping/Remain_Coat는 pure(나머지 3개 defect 동시 발생 행 제외). 비교군은 전 defect 공통으로 '확실한 정상품(is_normal)'만 쓴다.","OPCOND(Product_ID×Recipe_ID) 층별 정상군 median 기준, 산포는 MAD×1.4826 (강건 z-score)",방향일치 + 2개 검정 중 1개만 통과 (RandomForest),,,SOP 미수령 — 멘토 제공 대기,-1.522,297.22,297.59 ~ 303.33,294.61 ~ 296.98,10.019,19.901,1.99,186503,13497,"DecisionTree stump(max_depth=1, class_weight=balanced)로 분할점 탐색",True,,검정력 낮음(극단 이탈 희소),0.295,,,,False,양쪽 기여,8265,5.481,8172,3.671
T4,Micro_Crack,Cooling_Water_Temp,원인(FDC),판단보류,level,Cooling_Water_Temp 증가 → Micro_Crack 증가,멘토 확정,False,-0.0066,0.271,15413,149673,"Mann-Whitney U 양측검정 → Cliff's delta 환산, BH-FDR 다중비교 보정",p_FDR < 0.05 AND |delta| >= 0.2,False,0.00012,0.000467,25/39,상위 25%(=10위) 이내 AND 중요도 > 0,"RandomForest(트리 200, 최대깊이 8, class_weight=balanced) 학습 후 검증셋에서 한 컬럼씩 무작위 셔플 10회 → PR-AUC(average_precision) 하락폭 평균",False,실패(도메인 방향과 불일치),-0.0968,-0.0087,41,0,"혼합 라벨 — Micro_Crack/Particle은 이진(해당 컬럼이 1이면 전부 불량), Chipping/Remain_Coat는 pure(나머지 3개 defect 동시 발생 행 제외). 비교군은 전 defect 공통으로 '확실한 정상품(is_normal)'만 쓴다.","OPCOND(Product_ID×Recipe_ID) 층별 정상군 median 기준, 산포는 MAD×1.4826 (강건 z-score)",도메인 기대와 데이터 방향이 반대 — 판단 보류,,,SOP 미수령 — 멘토 제공 대기,0.574,22.158,21.46 ~ 22.14,22.19 ~ 22.66,7.786,7.503,0.96,143651,56349,"DecisionTree stump(max_depth=1, class_weight=balanced)로 분할점 탐색",False,위험구간 불량률이 정상구간보다 낮음 — 이 경계값으로 경보를 걸면 안 됨,검정력 낮음(극단 이탈 희소),0.306,,,,False,양쪽 기여,29871,0.013,30099,4.771
