factor,raw_min,raw_max,raw_median,range_ratio_pct,p1_p99_z,pct_z_gt3,pct_z_gt5,median_original,median_r1,r1_shift_pct,in_tier_table,testability
Bottom_Kerf,49.682,52.166,50.114,4.96,18.98,15.644,14.2725,50.095,50.147,0.104,False,검정 가능(이탈 충분)
Top_Kerf,49.665,51.691,50.113,4.04,14.98,15.363,13.8415,50.093,50.145,0.103,False,검정 가능(이탈 충분)
Kerf_Width_Profile,49.615,51.978,50.118,4.72,15.07,15.153,13.39,50.095,50.156,0.123,False,검정 가능(이탈 충분)
Head_Temp,40.741,47.111,42.092,15.13,15.31,14.467,10.0725,42.023,42.202,0.426,True,검정 가능(이탈 충분)
Power_Efficiency,91.867,95.701,94.95,4.04,18.45,11.404,8.8005,94.981,94.901,-0.084,True,검정 가능(이탈 충분)
CLN_Flow,8.888,10.226,9.991,13.39,18.55,9.536,5.7785,9.991,9.991,0.0,True,검정 가능(이탈 충분)
Laser_Power,17.577,18.824,18.474,6.75,10.36,9.114,7.087,18.488,18.453,-0.189,True,검정 가능(이탈 충분)
Laser_Cleaning_Demand,769.644,855.452,830.779,10.33,10.1,8.962,6.943,,,,False,검정 가능(이탈 충분)
Laser_Centering_Position,-0.712,1.976,0.024,11200.0,12.16,8.934,7.762,0.005,0.047,840.0,False,검정 가능(이탈 충분)
Package_Size_Asymmetry,0.0,0.004,0.001,806.15,12.21,8.876,7.356,,,,False,검정 가능(이탈 충분)
Vibration,0.065,0.31,0.16,153.4,6.95,7.502,0.697,0.156,0.167,7.524,True,검정 가능(이탈 충분)
Kerf_Angle,89.601,91.065,90.055,1.63,8.69,7.463,3.77,90.032,90.087,0.061,False,검정 가능(이탈 충분)
Package_Size_1,4.995,5.003,5.0,0.16,7.92,7.367,2.279,5.0,5.0,-0.003,False,검정 가능(이탈 충분)
Package_Size_4,4.997,5.005,5.0,0.15,7.9,7.334,2.2815,5.0,5.0,0.003,False,검정 가능(이탈 충분)
Groove_Depth,43.623,45.703,44.963,4.63,7.37,6.655,1.1815,44.99,44.93,-0.134,False,검정 가능(이탈 충분)
Package_Size_2,4.997,5.002,5.0,0.11,5.99,2.68,0.059,5.0,5.0,-0.003,False,검정 가능(이탈 충분)
Package_Size_3,4.998,5.003,5.0,0.12,5.9,2.545,0.0445,5.0,5.0,0.003,False,검정 가능(이탈 충분)
Cleaning_Load_Ratio,0.015,0.023,0.018,43.7,6.04,2.23,0.0865,,,,False,검정 가능(이탈 충분)
Cleaning_Capacity,35552.458,52333.728,44828.827,37.43,5.48,1.483,0.0075,,,,False,검정 가능(이탈 충분)
Surface_Roughness,0.437,0.755,0.59,53.99,5.27,1.08,0.004,0.586,0.595,1.519,True,검정 가능(이탈 충분)
Cooling_Flow,9.44,10.518,9.984,10.8,5.19,0.996,0.004,9.999,9.968,-0.31,True,검정 가능(이탈 충분)
Cooling_Thermal_Load,2.039,2.392,2.204,16.03,4.85,0.481,0.001,,,,False,검정력 낮음(극단 이탈 희소)
Coating_Uniformity,97.536,99.771,98.81,2.26,4.73,0.403,0.0005,98.81,98.809,-0.001,False,검정력 낮음(극단 이탈 희소)
Frequency,97.699,102.229,100.0,4.53,4.77,0.352,0.0,100.002,99.998,-0.004,False,검정력 낮음(극단 이탈 희소)
Coating_Thickness,9.285,10.713,10.0,14.28,4.69,0.312,0.0,9.999,10.001,0.018,False,검정력 낮음(극단 이탈 희소)
Cooling_Water_Temp,20.511,23.36,22.002,12.95,4.68,0.306,0.0,22.001,22.003,0.009,True,검정력 낮음(극단 이탈 희소)
Laser_Current,8.033,8.953,8.5,10.82,4.7,0.297,0.0,8.5,8.5,0.0,False,검정력 낮음(극단 이탈 희소)
CLN_Pressure,291.108,308.397,299.994,5.76,4.72,0.295,0.0,299.994,299.994,0.0,True,검정력 낮음(극단 이탈 희소)
Alignment_Time,0.311,0.492,0.4,45.32,4.68,0.294,0.0,0.4,0.4,0.0,False,검정력 낮음(극단 이탈 희소)
Coating_Flow,47.744,52.21,50.001,8.93,4.66,0.292,0.0,50.001,50.0,-0.002,False,검정력 낮음(극단 이탈 희소)
Beam_Diameter,33.537,36.332,34.999,7.99,4.65,0.286,0.0,34.999,34.999,0.0,False,검정력 낮음(극단 이탈 희소)
Feed_Speed,246.374,253.36,249.996,2.79,4.68,0.28,0.0,249.993,249.999,0.002,False,검정력 낮음(극단 이탈 희소)
Laser_Voltage,23.051,24.913,24.0,7.76,4.68,0.276,0.0,24.001,23.999,-0.008,False,검정력 낮음(극단 이탈 희소)
CLN_Time,12.776,17.354,15.0,30.52,4.65,0.268,0.0,15.001,14.998,-0.02,False,검정력 낮음(극단 이탈 희소)
Cutting_X_Index,-2.096,2.129,-0.001,422500.0,4.65,0.263,0.0,-0.002,0.0,100.0,False,검정력 낮음(극단 이탈 희소)
Cutting_Y_Index,-2.275,2.392,0.003,155566.67,4.63,0.261,0.0,0.0,0.005,,False,검정력 낮음(극단 이탈 희소)
Process_Time,4.526,5.457,5.001,18.62,4.65,0.243,0.0,5.001,5.0,-0.02,False,검정력 낮음(극단 이탈 희소)
Laser_Head_Remain_Time,1000.0,4999.0,2999.0,133.34,2.66,0.0,0.0,2998.0,3000.0,0.067,False,검정불가(극단 이탈 거의 없음 — 시나리오 미주입 의심)
Maintenance_Count,0.0,19.0,10.0,190.0,2.7,0.0,0.0,10.0,9.0,-10.0,False,검정불가(극단 이탈 거의 없음 — 시나리오 미주입 의심)
