section,item,n,n_defect,defect_rate_pct,lift,note
① 낙차 구간별 발생률,"낙차 (-inf, -1.0]",63017,832.0,1.32,0.744,
① 낙차 구간별 발생률,"낙차 (-1.0, -0.5]",17826,230.0,1.29,0.727,
① 낙차 구간별 발생률,"낙차 (-0.5, 0.0]",19055,258.0,1.354,0.763,
① 낙차 구간별 발생률,"낙차 (0.0, 0.5]",19149,247.0,1.29,0.727,
① 낙차 구간별 발생률,"낙차 (0.5, 1.0]",17942,209.0,1.165,0.657,
① 낙차 구간별 발생률,"낙차 (1.0, 1.5]",15981,215.0,1.345,0.758,
① 낙차 구간별 발생률,"낙차 (1.5, 2.0]",13384,170.0,1.27,0.716,
① 낙차 구간별 발생률,"낙차 (2.0, inf]",33486,1384.0,4.133,2.33,
② 기준별 성능,절대값 < 297.272,17237,1143.0,6.631,3.738,알람비율 8.63% / 불량포착 32.2% rel_20 티어표 경계
② 기준별 성능,낙차 > 1.0,62851,1769.0,2.815,1.587,알람비율 31.45% / 불량포착 49.9%
② 기준별 성능,낙차 > 1.5,46870,1554.0,3.316,1.869,알람비율 23.45% / 불량포착 43.8%
② 기준별 성능,낙차 > 2.0,33486,1384.0,4.133,2.33,알람비율 16.76% / 불량포착 39.0%
② 기준별 성능,절대값 OR 낙차>1.5,46907,1554.0,3.313,1.868,알람비율 23.47% / 불량포착 43.8% 조합
② 기준별 성능,절대값 AND 낙차>1.5,17200,1143.0,6.645,3.746,알람비율 8.61% / 불량포착 32.2% 조합
③ 급상승(반대방향),급상승 > 1.0,63005,832.0,1.321,0.744,1 미만이면 무관
③ 급상승(반대방향),급상승 > 1.5,47011,610.0,1.298,0.731,1 미만이면 무관
③ 급상승(반대방향),급상승 > 2.0,33362,419.0,1.256,0.708,1 미만이면 무관
④ 낙차 분포,p1,199840,,,,낙차 -4.8178
④ 낙차 분포,p25,199840,,,,낙차 -1.4031
④ 낙차 분포,p50,199840,,,,낙차 +0.0010
④ 낙차 분포,p75,199840,,,,낙차 +1.3951
④ 낙차 분포,p99,199840,,,,낙차 +4.8253
④ 낙차 분포,p100,199840,,,,낙차 +9.3370
