dataset,machine,defect,scenario,mentor_says,n_defect_at_machine,n_rows_at_machine,rate_at_machine,rate_at_others,risk_ratio,odds_ratio,p_value,p_fdr,direction_matches,supported
원본,DP02,Chipping,Laser Aging,증가,1,24882,4.018969536210915e-05,3.993716552623872e-05,1.0063231787369717,1.0063234328738127,1.0,1.0,True,False
원본,DP02,Laser_Paim,Laser Aging,증가,0,24882,0.0,0.0,,,1.0,1.0,False,False
원본,DP03,Micro_Crack,Cooling Failure,증가,10,25018,0.00039971220721080823,0.00041343255714704864,0.9668135716477685,0.9668003013229315,1.0,1.0,False,False
원본,DP03,Chipping,Cooling Failure,약간 증가,1,25018,3.9971220721080824e-05,4.000960230455309e-05,0.9990406907026942,0.9990406523563976,1.0,1.0,False,False
원본,DP04,Particle,Cleaning Failure,증가,2036,25380,0.08022064617809299,0.07713749664969177,1.0399695305436587,1.0434555639649612,0.1158620996721396,0.34758629901641885,True,False
원본,DP04,Remain_Coat,Cleaning Failure,증가,875,25380,0.03447596532702916,0.019525596354864647,1.7656805303383087,1.7930206839414924,4.768038127810397e-39,2.8608228766862383e-38,True,True
r1,DP02,Chipping,Laser Aging,증가,16185,24835,0.6517012281054962,0.10624625823188984,6.133874631924572,15.739858553045865,0.0,0.0,True,True
r1,DP02,Laser_Paim,Laser Aging,증가,1902,24835,0.07658546406281458,0.0,inf,inf,0.0,0.0,True,True
r1,DP03,Micro_Crack,Cooling Failure,증가,4246,24809,0.171147567415051,0.14796983681557632,1.1566382115320062,1.1889820254776802,3.5670564488772425e-18,3.5670564488772425e-18,True,True
r1,DP03,Chipping,Cooling Failure,약간 증가,7847,24809,0.3162965053004958,0.21710045085183066,1.4569131665063453,1.668291401241358,2.5210320246850684e-211,3.025238429622082e-211,True,True
r1,DP04,Particle,Cleaning Failure,증가,4960,25127,0.1973972221116727,0.11511492794465294,1.7147838741347339,1.8905823575833518,1.892228199541572e-222,2.838342299312358e-222,True,True
r1,DP04,Remain_Coat,Cleaning Failure,증가,5876,25127,0.23385203167907032,0.020915416772401267,11.180844934806533,14.288353367455393,0.0,0.0,True,True
합침,DP02,Chipping,Laser Aging,증가,16186,49717,0.325562684795945,0.05315970535589521,6.124237947075855,8.597797203029147,0.0,0.0,True,True
합침,DP02,Laser_Paim,Laser Aging,증가,1902,49717,0.03825653197095561,0.0,inf,inf,0.0,0.0,True,True
합침,DP03,Micro_Crack,Cooling Failure,증가,4256,49827,0.08541553776065186,0.07429431389131202,1.149691453986768,1.1636715472076253,1.4622121100331621e-15,1.4622121100331621e-15,True,True
합침,DP03,Chipping,Cooling Failure,약간 증가,7848,49827,0.15750496718646517,0.10872127479640148,1.448704197788512,1.5325897249388547,2.7444940698480146e-175,4.116741104772022e-175,True,True
합침,DP04,Particle,Cleaning Failure,증가,6996,50507,0.13851545330350248,0.09615834855143719,1.440493263353078,1.5113188217272393,8.190681133769457e-149,9.828817360523348e-149,True,True
합침,DP04,Remain_Coat,Cleaning Failure,증가,6751,50507,0.13366464054487498,0.02022168262059093,6.609966294732053,7.4755134758211845,0.0,0.0,True,True
