dataset,label,factor,cliffs_delta,p_value,p_fdr,passes,n_defect,n_rows,note
원본,broad,-,,,,False,10,25018,Micro_Crack 10건 — 표본 부족으로 판정 불가
원본,pure,-,,,,False,9,22769,Micro_Crack 9건 — 표본 부족으로 판정 불가
r1,broad,Vibration,0.3665292116418808,2.1812831669574e-310,4.580694650610494e-309,True,4246,24809,
r1,broad,Head_Temp,0.346932713635421,2.6015651752207585e-278,2.7316434339817967e-277,True,4246,24809,
r1,broad,Power_Efficiency,-0.3250506141884565,1.4249156105275386e-244,9.974409273692772e-244,True,4246,24809,
r1,broad,Laser_Power,-0.29052439948286635,8.4469840457360985e-196,4.434666624011452e-195,True,4246,24809,
r1,broad,Cooling_Flow,-0.27159895480151763,2.212247170131065e-171,9.291438114550474e-171,True,4246,24809,
r1,broad,Frequency,0.03154901258265652,0.0011883996827654467,0.004159398889679064,False,4246,24809,
r1,broad,Laser_Head_Remain_Time,-0.023841840874621933,0.01429592651836804,0.04288777955510412,False,4246,24809,
r1,broad,Laser_Centering_Position,0.020203217716155963,0.03790569391194649,0.09950244651885953,False,4246,24809,
r1,broad,CLN_Pressure,0.016772519153424037,0.08482167277206154,0.1979172364681436,False,4246,24809,
r1,broad,Cooling_Water_Temp,-0.014502952439923056,0.13617887101388187,0.285975629129152,False,4246,24809,
r1,broad,Feed_Speed,0.012482427943544705,0.19964476402698716,0.38114000405152093,False,4246,24809,
r1,broad,Laser_Current,0.008608105751498618,0.3764376847853679,0.6587659483743938,False,4246,24809,
r1,broad,Cutting_X_Index,-0.008052044325757901,0.40804222298358483,0.6591451294350217,False,4246,24809,
r1,broad,Laser_Voltage,0.00576871065378648,0.5533605187155455,0.7203797486653336,False,4246,24809,
r1,broad,Cutting_Y_Index,0.005615017795454591,0.5639799166726962,0.7203797486653336,False,4246,24809,
r1,broad,Alignment_Time,-0.005296522303652407,0.5862936686016462,0.7203797486653336,False,4246,24809,
r1,broad,CLN_Time,0.004584614784810981,0.6375932285480647,0.7203797486653336,False,4246,24809,
r1,broad,Process_Time,-0.00449760348406214,0.6439908418546545,0.7203797486653336,False,4246,24809,
r1,broad,Coating_Flow,-0.004392255327646866,0.6517721535543495,0.7203797486653336,False,4246,24809,
r1,broad,Beam_Diameter,-0.0029386844179951632,0.7626919265318037,0.800826522858394,False,4246,24809,
r1,broad,CLN_Flow,0.0021558919524202746,0.8246905575926796,0.8246905575926796,False,4246,24809,
r1,pure,Vibration,0.23134116333218158,4.032706907795198e-43,8.468684506369917e-42,True,1289,15316,
r1,pure,Head_Temp,0.1608752111286207,1.033273993989142e-21,1.0849376936885993e-20,False,1289,15316,
r1,pure,Power_Efficiency,-0.13462056967270752,1.1365752012063645e-15,7.956026408444552e-15,False,1289,15316,
r1,pure,Cooling_Flow,-0.1310513697870609,6.2531967799331035e-15,3.2829283094648794e-14,False,1289,15316,
r1,pure,Laser_Power,-0.11085187975334942,4.20463146836493e-11,1.7659452167132707e-10,False,1289,15316,
r1,pure,Frequency,0.05123682836431542,0.0022956705741659705,0.008034847009580898,False,1289,15316,
r1,pure,CLN_Time,0.027726036282791133,0.0989541212230575,0.2968623636691725,False,1289,15316,
r1,pure,Alignment_Time,0.023226180828362475,0.16692152250297154,0.4078997375035863,False,1289,15316,
r1,pure,Laser_Head_Remain_Time,-0.02280158685430067,0.1748141732158227,0.4078997375035863,False,1289,15316,
r1,pure,Cutting_Y_Index,-0.0209587483476259,0.21231288325688924,0.4458570548394674,False,1289,15316,
r1,pure,Feed_Speed,0.019109051738465332,0.2554725725927687,0.487720365858922,False,1289,15316,
r1,pure,Laser_Centering_Position,0.01644910350497164,0.3276459938495947,0.5733804892367907,False,1289,15316,
r1,pure,CLN_Pressure,0.011552252408258745,0.4917931134497602,0.7944350294188434,False,1289,15316,
r1,pure,Cooling_Water_Temp,-0.009571035091748947,0.5689765652194165,0.8534648478291248,False,1289,15316,
r1,pure,Cutting_X_Index,-0.007477046235169982,0.6563571667606949,0.870305930814762,False,1289,15316,
r1,pure,CLN_Flow,0.007320803174505119,0.6630902330017234,0.870305930814762,False,1289,15316,
r1,pure,Process_Time,0.005683873664239281,0.7351835697616818,0.9081679391173716,False,1289,15316,
r1,pure,Laser_Current,-0.0019981966508898497,0.9053487153998779,0.9845938516274021,False,1289,15316,
r1,pure,Laser_Voltage,0.001609220563931757,0.9237113357321745,0.9845938516274021,False,1289,15316,
r1,pure,Beam_Diameter,0.000564189544015381,0.9732191979295669,0.9845938516274021,False,1289,15316,
r1,pure,Coating_Flow,0.0003245431079581529,0.9845938516274021,0.9845938516274021,False,1289,15316,
