dataset,check,group,partner,value,p_value,n
원본,(a) 계열 상관,레이저 계열,Power_Efficiency,-0.00995090047432482,0.0016507370298136509,100000
원본,(a) 계열 상관,레이저 계열,Laser_Power,-0.01647718410772888,1.8799593805822785e-07,100000
원본,(a) 계열 상관,레이저 계열,Laser_Centering_Position,-0.0004562706863798041,0.8852764777373586,100000
원본,(a) 계열 상관,냉각 계열,Cooling_Flow,-0.010080116154960597,0.0014343218335412652,100000
원본,(a) 계열 상관,냉각 계열,Cooling_Water_Temp,0.00045203528894458667,0.8863341477222487,100000
원본,(c) DP02 내부 상관,레이저 계열,Power_Efficiency,-0.009577508034500467,0.13086039856500792,24882
원본,(c) DP02 내부 상관,레이저 계열,Laser_Power,-0.017804327121101082,0.0049766502256691604,24882
원본,(c) DP02 내부 상관,레이저 계열,Laser_Centering_Position,0.007268513384501386,0.25159040603752336,24882
원본,(c) DP02 내부 상관,냉각 계열,Cooling_Flow,-0.00023884462171594724,0.9699479823068655,24882
원본,(c) DP02 내부 상관,냉각 계열,Cooling_Water_Temp,0.009478789632857218,0.13487646764613628,24882
원본,(c) DP03 내부 상관,레이저 계열,Power_Efficiency,-0.03485803166094068,3.4893284566822e-08,25018
원본,(c) DP03 내부 상관,레이저 계열,Laser_Power,-0.03382453076390584,8.731655999218091e-08,25018
원본,(c) DP03 내부 상관,레이저 계열,Laser_Centering_Position,-0.004363544887341966,0.4900972478932375,25018
원본,(c) DP03 내부 상관,냉각 계열,Cooling_Flow,-0.01425996531753657,0.024101209527745023,25018
원본,(c) DP03 내부 상관,냉각 계열,Cooling_Water_Temp,-0.010227362125710886,0.1057420448814694,25018
원본,(b) 장비별 수준,DP01,Head_Temp median z,-0.07486033189066721,,24720
원본,(b) 장비별 수준,DP02,Head_Temp median z,-0.027172039018890183,,24882
원본,(b) 장비별 수준,DP03,Head_Temp median z,0.1959317630356118,,25018
원본,(b) 장비별 수준,DP04,Head_Temp median z,-0.08074763694965824,,25380
r1,(a) 계열 상관,레이저 계열,Power_Efficiency,-0.6110941837496546,0.0,100000
r1,(a) 계열 상관,레이저 계열,Laser_Power,-0.5710790353760677,0.0,100000
r1,(a) 계열 상관,레이저 계열,Laser_Centering_Position,0.30636264282887843,0.0,100000
r1,(a) 계열 상관,냉각 계열,Cooling_Flow,-0.4006702029846244,0.0,100000
r1,(a) 계열 상관,냉각 계열,Cooling_Water_Temp,-0.00015517380435086848,0.960863788132408,100000
r1,(c) DP02 내부 상관,레이저 계열,Power_Efficiency,-0.8178653614669209,0.0,24835
r1,(c) DP02 내부 상관,레이저 계열,Laser_Power,-0.7950194358647152,0.0,24835
r1,(c) DP02 내부 상관,레이저 계열,Laser_Centering_Position,0.7974435795572077,0.0,24835
r1,(c) DP02 내부 상관,냉각 계열,Cooling_Flow,-0.28648436757051715,0.0,24835
r1,(c) DP02 내부 상관,냉각 계열,Cooling_Water_Temp,0.003906915013184575,0.5381143517048759,24835
r1,(c) DP03 내부 상관,레이저 계열,Power_Efficiency,-0.7625294219949229,0.0,24809
r1,(c) DP03 내부 상관,레이저 계열,Laser_Power,-0.6621373622960726,0.0,24809
r1,(c) DP03 내부 상관,레이저 계열,Laser_Centering_Position,0.0005949398070086207,0.9253446898531462,24809
r1,(c) DP03 내부 상관,냉각 계열,Cooling_Flow,-0.6447332213815118,0.0,24809
r1,(c) DP03 내부 상관,냉각 계열,Cooling_Water_Temp,0.004212826462923785,0.5069934416434753,24809
r1,(b) 장비별 수준,DP01,Head_Temp median z,-0.15378389316066954,,25229
r1,(b) 장비별 수준,DP02,Head_Temp median z,3.606933417630257,,24835
r1,(b) 장비별 수준,DP03,Head_Temp median z,4.795119180816813,,24809
r1,(b) 장비별 수준,DP04,Head_Temp median z,-0.16722911391982517,,25127
