dataset,scope,n_rows,n_micro_crack,micro_crack_rate_pct,vibration_median_z,cliffs_delta,p_value,mc_rate_Q1_pct,mc_rate_Q2_pct,mc_rate_Q3_pct,mc_rate_Q4_pct,mc_rate_Q5_pct,q5_over_q1
원본,pooled,91209,34.0,0.03727702310079049,0.0,0.10270649526605258,0.29969742252507214,0.01644195988161789,0.049344810570754974,0.03288572211564812,0.054833580084443716,0.03289113035851332,2.00043854840478
원본,DP01,22761,5.0,0.021967400377839286,-0.24946918501189208,0.010344524521005427,0.9680733096522941,,,,,,
원본,DP02,22701,8.0,0.035240738293467244,0.08838154779348557,0.0068303000925395985,0.9733333710845539,,,,,,
원본,DP03,22769,9.0,0.03952742764284773,0.2518098835379284,-0.05189416129662172,0.7874946255384938,,,,,,
원본,DP04,22978,12.0,0.05222386630690225,-0.05396165905408587,0.2653233765856773,0.1115042575891001,,,,,,
r1,pooled,63980,4874.0,7.618005626758362,0.027909962461099974,0.21431667365563345,6.00109147410715e-137,4.51633067666823,5.924189136381399,7.096522078937085,8.447952485151609,12.10534542044389,2.680349665931503
r1,DP01,23182,1560.0,6.729358985419723,-0.198505191871277,0.17253438449442515,4.236030404055861e-30,4.269081500646831,5.264293419633225,7.010353753235547,7.765314926660914,9.33793400905758,2.187340299697427
r1,DP02,7720,656.0,8.49740932642487,0.24171347557105133,0.24878571009308614,4.732441722841782e-26,4.404145077720207,6.7357512953367875,7.577720207253886,9.00259067357513,14.766839378238341,3.3529411764705883
r1,DP03,15316,1289.0,8.416035518412118,0.2723502164847857,0.23134116333218158,4.032706907795198e-43,5.287206266318538,5.974534769833497,7.373572593800978,9.604704344985299,13.842637936663401,2.6181384344405343
r1,DP04,17762,1369.0,7.707465375520775,0.10661088120307977,0.20755603206253692,2.17116432468685e-37,4.586381541924592,6.193693693693693,7.040270346381301,8.58429496200394,12.13400900900901,2.6456606146023325
원본+r1 합침,pooled,155189,4908.0,3.162595287037097,0.01217492345625624,0.22705487601447216,7.080892799474054e-162,,,,,,
진혁님 rel_20 기재값,pooled,200000,,,,0.0633,,,,,,,
