defect,factor,jh_tier,jh_recorded_delta,reproduced_as_coded,recomputed_as_documented,delta_change,passed_effect_size_before,passed_effect_size_after,verdict_changes
Chipping,Power_Efficiency,T1,-0.8789,-0.8789108632913731,-0.9480051678302227,-0.06909430453884957,True,True,False
Chipping,Laser_Power,T1,-0.8523,-0.8523242639608435,-0.9180809130436588,-0.06575664908281531,True,True,False
Chipping,Head_Temp,T1,0.8727,0.8727451017646362,0.9351911216375972,0.062446019872961056,True,True,False
Chipping,Cooling_Flow,T2,-0.478,-0.47803172957444606,-0.5113988283379491,-0.03336709876350308,True,True,False
Chipping,Vibration,T2,0.8161,0.8161017559558617,0.8977797550256146,0.08167799906975293,True,True,False
Remain_Coat,CLN_Pressure,T1,-0.2466,-0.2465791499892721,-0.25476596387974015,-0.008186813890468048,True,True,False
Remain_Coat,CLN_Flow,T1,-0.5556,-0.5555735682963605,-0.5702153223232131,-0.014641754026852638,True,True,False
Particle,CLN_Flow,T2,-0.0052,-0.005229669659199909,-0.023379786142598724,-0.018150116483398815,False,False,False
Particle,CLN_Pressure,T3,0.0117,0.011725376947836708,-0.0012772610050815203,-0.013002637952918228,False,False,False
Particle,Surface_Roughness,M1,0.6063,0.6063168364551894,0.72145554354559,0.11513870709040064,True,True,False
Micro_Crack,Cooling_Flow,T3,-0.0232,-0.02321146976820887,-0.08578429935420206,-0.0625728295859932,False,False,False
Micro_Crack,Vibration,T3,0.0633,0.06332099624614584,0.22109525254985196,0.15777425630370612,False,True,True
Micro_Crack,Cooling_Water_Temp,T4,-0.0125,-0.012523869166832458,-0.013485985678859613,-0.0009621165120271558,False,False,False
