,stage,input,output,spearman_r_all,spearman_r_normal,abs_r_all
24,cleaning,CLN_Pressure,Remain_Coat,-0.14197376351808713,,0.14197376351808713
25,cleaning,CLN_Pressure,Remain_Coat_Die,-0.14144979340967298,,0.14144979340967298
10,cooling_laser,Vibration,Focus,0.051913167369670735,0.053282615601456966,0.051913167369670735
23,cleaning,CLN_Pressure,Particle_Die,-0.04373799744817865,,0.04373799744817865
22,cleaning,CLN_Pressure,Particle,-0.04176942035696581,,0.04176942035696581
20,cleaning,CLN_Flow,Remain_Coat_Die,-0.03851063510121652,,0.03851063510121652
19,cleaning,CLN_Flow,Remain_Coat,-0.03801571872228168,,0.03801571872228168
7,cooling_laser,Head_Temp,Focus,0.03707388206689874,0.03765158963156571,0.03707388206689874
16,cleaning,CLN_Flow,Surface_Roughness,-0.016413003016551783,-0.016059822694247508,0.016413003016551783
31,cleaning,Laser_Power,Surface_Roughness,-0.016127955441787308,-0.016015314559377308,0.016127955441787308
18,cleaning,CLN_Flow,Particle_Die,-0.014388543529827144,,0.014388543529827144
17,cleaning,CLN_Flow,Particle,-0.014017394235043472,,0.014017394235043472
9,cooling_laser,Vibration,Cutting_Offset,0.00955840052244243,0.00982439196637194,0.00955840052244243
36,cleaning,Groove_Depth,Surface_Roughness,-0.009441775968806335,-0.009130038374628668,0.009441775968806335
34,cleaning,Laser_Power,Remain_Coat,0.008731915672433288,,0.008731915672433288
35,cleaning,Laser_Power,Remain_Coat_Die,0.008711095242161853,,0.008711095242161853
3,cooling_laser,Cooling_Water_Temp,Cutting_Offset,0.00690268431459752,0.006519771024205534,0.00690268431459752
26,cleaning,CLN_Time,Surface_Roughness,0.0049048244773366514,0.004801461035694963,0.0049048244773366514
12,coating,Coating_Flow,Coating_Thickness,-0.004281937591606018,-0.004129923138778451,0.004281937591606018
37,cleaning,Groove_Depth,Particle,-0.0033133748817116455,,0.0033133748817116455
4,cooling_laser,Cooling_Water_Temp,Focus,-0.0032586255740581264,-0.0022360003182784077,0.0032586255740581264
1,cooling_laser,Cooling_Flow,Focus,-0.0032404581630872988,-0.001946569141248503,0.0032404581630872988
38,cleaning,Groove_Depth,Particle_Die,-0.0031599310629817786,,0.0031599310629817786
0,cooling_laser,Cooling_Flow,Cutting_Offset,-0.0029119922346020535,-0.004472752944684676,0.0029119922346020535
40,cleaning,Groove_Depth,Remain_Coat_Die,0.0027604130864961295,,0.0027604130864961295
39,cleaning,Groove_Depth,Remain_Coat,0.002746187878407307,,0.002746187878407307
13,coating,Coating_Flow,Coating_Uniformity,-0.002523490036261372,-0.0007972756992611373,0.002523490036261372
11,cooling_laser,Vibration,Edge_Burn,-0.0024667381030745055,,0.0024667381030745055
32,cleaning,Laser_Power,Particle,-0.0021962428452107657,,0.0021962428452107657
6,cooling_laser,Head_Temp,Cutting_Offset,0.002157562693592193,0.0033241360846012666,0.002157562693592193
15,coating,Coating_Flow,Particle_Die,0.002020939056635773,,0.002020939056635773
14,coating,Coating_Flow,Particle,0.002013430779367488,,0.002013430779367488
33,cleaning,Laser_Power,Particle_Die,-0.001831261695472118,,0.001831261695472118
29,cleaning,CLN_Time,Remain_Coat,-0.001688174418591109,,0.001688174418591109
30,cleaning,CLN_Time,Remain_Coat_Die,-0.0016031562204349092,,0.0016031562204349092
5,cooling_laser,Cooling_Water_Temp,Edge_Burn,0.0014683268226172105,,0.0014683268226172105
27,cleaning,CLN_Time,Particle,-0.0007601310870338049,,0.0007601310870338049
2,cooling_laser,Cooling_Flow,Edge_Burn,-0.0006753125715789932,,0.0006753125715789932
8,cooling_laser,Head_Temp,Edge_Burn,-0.0005073776115580271,,0.0005073776115580271
21,cleaning,CLN_Pressure,Surface_Roughness,-0.0002578162879863726,0.0004765789881598651,0.0002578162879863726
28,cleaning,CLN_Time,Particle_Die,-0.00021776985648087348,,0.00021776985648087348
