,defect,feature,weighted_standardized_difference,absolute_effect,valid_strata
5,Edge_Burn,CLN_Flow,-0.11666174348435786,0.11666174348435786,74
6,Edge_Burn,CLN_Pressure,-0.091299767787054,0.091299767787054,74
11,Edge_Burn,Cleaning_Load_Ratio,0.07456664322611392,0.07456664322611392,74
3,Edge_Burn,Vibration,0.04697702534541934,0.04697702534541934,74
7,Edge_Burn,CLN_Time,-0.04272319888080158,0.04272319888080158,74
4,Edge_Burn,Coating_Flow,0.03278666326238769,0.03278666326238769,74
0,Edge_Burn,Cooling_Flow,-0.023988389655517084,0.023988389655517084,74
9,Edge_Burn,Groove_Depth,-0.02203020385593546,0.02203020385593546,74
2,Edge_Burn,Head_Temp,0.012151851607295984,0.012151851607295984,74
10,Edge_Burn,Cooling_Thermal_Load,0.008800248211478541,0.008800248211478541,74
1,Edge_Burn,Cooling_Water_Temp,-0.005915959864239041,0.005915959864239041,74
8,Edge_Burn,Laser_Power,0.00289100054098766,0.00289100054098766,74
15,Particle,Vibration,0.3375438442286159,0.3375438442286159,216
18,Particle,CLN_Pressure,-0.18687846410412212,0.18687846410412212,216
17,Particle,CLN_Flow,-0.06964133976338344,0.06964133976338344,216
23,Particle,Cleaning_Load_Ratio,0.05958542211956152,0.05958542211956152,216
12,Particle,Cooling_Flow,-0.02782105947109689,0.02782105947109689,216
14,Particle,Head_Temp,0.018947613474394397,0.018947613474394397,216
13,Particle,Cooling_Water_Temp,-0.017787508678981462,0.017787508678981462,216
21,Particle,Groove_Depth,-0.007613884381760795,0.007613884381760795,216
16,Particle,Coating_Flow,0.0056813308599534965,0.0056813308599534965,216
19,Particle,CLN_Time,-0.0053466783009924156,0.0053466783009924156,216
20,Particle,Laser_Power,-0.0037766561892573157,0.0037766561892573157,216
22,Particle,Cooling_Thermal_Load,0.0024024437618984937,0.0024024437618984937,216
30,Remain_Coat,CLN_Pressure,-1.123099299256794,1.123099299256794,214
35,Remain_Coat,Cleaning_Load_Ratio,0.31971510214655063,0.31971510214655063,214
29,Remain_Coat,CLN_Flow,-0.28447145609962304,0.28447145609962304,214
27,Remain_Coat,Vibration,0.04241283970680044,0.04241283970680044,214
32,Remain_Coat,Laser_Power,0.03571194557320293,0.03571194557320293,214
26,Remain_Coat,Head_Temp,-0.015513574858856773,0.015513574858856773,214
31,Remain_Coat,CLN_Time,-0.01247360701070653,0.01247360701070653,214
33,Remain_Coat,Groove_Depth,0.008000444552285704,0.008000444552285704,214
28,Remain_Coat,Coating_Flow,-0.005877569789608967,0.005877569789608967,214
34,Remain_Coat,Cooling_Thermal_Load,0.003700899579803404,0.003700899579803404,214
25,Remain_Coat,Cooling_Water_Temp,0.0020227002916713105,0.0020227002916713105,214
24,Remain_Coat,Cooling_Flow,-0.001664738255331691,0.001664738255331691,214
