,Laser_Power,Power_Efficiency,Laser_Centering_Position,Frequency,Feed_Speed,Focus,Head_Temp,Vibration,Laser_Current,Laser_Voltage,Beam_Diameter,Alignment_Time,Process_Time,Cutting_X_Index,Cutting_Y_Index,Cooling_Flow,Cooling_Water_Temp,CLN_Flow,CLN_Pressure,Coating_Flow,CLN_Time,Laser_Head_Remain_Time,Kerf_Width_Profile,Top_Kerf,Bottom_Kerf,Kerf_Angle,Groove_Depth,Package_Size_1,Package_Size_2,Package_Size_3,Package_Size_4,Coating_Thickness,Coating_Uniformity,Cutting_Offset,Surface_Roughness,Chipping,Chipping_Die,Remain_Coat,Remain_Coat_Die,Particle,Particle_Die,Micro_Crack,Micro_Crack_Die,Laser_Paim,Laser_Paim_Die,Fail_Die,Yield,PLC_CPU_Load,PLC_Memory,Network_Latency,LED_Brightness,Room_Noise,Door_Open_Count,Fan_RPM,Vision_Exposure,Maintenance_Count,Factory_Power
Laser_Power,1.0,0.0488,-0.0101,0.0032,-0.0032,-0.024,-0.0166,-0.0506,0.001,-0.0003,-0.0012,0.0046,0.0026,0.0008,-0.0024,-0.0001,-0.0004,-0.0293,-0.0042,0.0032,-0.0067,0.0011,-0.5788,-0.681,-0.6808,-0.0082,0.3501,0.0054,0.0013,-0.0034,-0.0037,-0.0006,-0.0026,-0.0094,-0.0161,-0.0108,-0.0108,0.0087,0.0087,-0.0022,-0.0018,-0.0059,-0.0059,,,0.0001,-0.0001,-0.0053,0.0027,-0.0002,0.0023,0.0029,0.0024,0.003,0.0012,0.0005,-0.0047
Power_Efficiency,0.0488,1.0,-0.0182,-0.0008,0.0043,-0.0126,-0.01,-0.0394,-0.0047,0.0025,0.0027,0.0005,-0.0038,0.001,0.0055,-0.002,0.002,-0.0255,-0.001,0.0005,0.0017,0.0047,-0.2245,-0.2623,-0.2641,0.0039,0.1051,0.0077,0.0041,-0.0028,-0.0072,0.0012,0.0034,-0.0174,-0.014,-0.0049,-0.0049,-0.0002,-0.0001,-0.0072,-0.0064,-0.0028,-0.0028,,,-0.0064,0.0064,-0.0061,0.0058,-0.0006,-0.0007,0.001,-0.0064,-0.0008,-0.0078,0.0007,0.0027
Laser_Centering_Position,-0.0101,-0.0182,1.0,-0.0038,0.0017,0.0004,-0.0006,0.0071,0.0032,0.0019,0.0008,0.0004,-0.002,-0.0037,-0.0017,-0.0043,0.0024,0.0066,0.0009,0.0006,0.002,0.0008,0.0182,-0.1992,0.2414,0.0043,-0.0023,-0.4948,-0.2794,0.2818,0.5021,0.0034,0.0015,0.8191,0.0052,-0.0,-0.0,-0.0021,-0.0021,0.0017,0.0016,0.0022,0.0022,,,0.0009,-0.0009,0.0004,-0.002,0.0083,0.0002,-0.0003,-0.0028,-0.003,0.0035,0.0011,-0.0015
Frequency,0.0032,-0.0008,-0.0038,1.0,0.0011,0.0027,-0.0002,-0.0039,-0.0007,0.0018,-0.0007,0.0054,0.0,-0.0006,-0.0034,-0.0029,-0.0022,0.0056,-0.001,-0.0051,-0.0061,0.0037,-0.0048,-0.0016,-0.0047,0.0014,0.0061,0.0053,-0.004,0.0002,-0.0027,0.004,0.0009,-0.0035,0.0027,-0.0014,-0.0014,-0.0071,-0.0071,-0.0029,-0.0026,0.0275,0.0275,,,0.0183,-0.0183,-0.0002,-0.0013,-0.0014,0.007,-0.0026,-0.0019,-0.0029,0.0048,0.001,-0.003
Feed_Speed,-0.0032,0.0043,0.0017,0.0011,1.0,0.0011,0.0019,0.0014,-0.0028,-0.0005,0.0013,-0.0001,0.0022,-0.0012,0.0006,-0.0026,0.0041,-0.0029,0.0022,-0.0038,0.002,0.0024,0.0007,0.0013,0.0047,0.0018,0.002,-0.002,-0.0019,-0.0013,0.0045,0.0037,0.0019,-0.0016,-0.0014,-0.0035,-0.0035,0.0064,0.0064,0.0039,0.0039,0.0024,0.0024,,,0.0051,-0.0051,-0.0007,0.0021,0.0003,0.003,0.0056,0.0029,0.0021,-0.0026,0.0019,-0.0009
Focus,-0.024,-0.0126,0.0004,0.0027,0.0011,1.0,0.0371,0.0519,-0.0019,-0.0003,0.0008,-0.002,-0.0022,-0.0023,-0.0028,-0.0032,-0.0033,0.0156,0.0022,0.0051,-0.0024,-0.0061,0.0427,0.0554,0.0504,0.0317,-0.0131,0.0019,-0.0042,-0.002,-0.0011,0.0047,0.0021,0.0013,0.0152,-0.0019,-0.0019,-0.0014,-0.0014,0.002,0.0021,-0.0018,-0.0018,,,0.0022,-0.0022,0.0037,-0.0018,-0.0028,0.0021,-0.0046,0.0016,-0.0038,0.0044,-0.0045,0.0015
Head_Temp,-0.0166,-0.01,-0.0006,-0.0002,0.0019,0.0371,1.0,0.0513,0.0031,0.0004,-0.0045,0.0013,-0.0034,-0.0019,-0.0014,-0.01,0.0005,0.02,0.0016,0.0054,-0.0011,-0.0042,0.0155,0.02,0.018,0.0088,-0.0074,0.0013,-0.0035,0.0039,-0.0001,-0.0003,0.004,0.0022,0.0152,0.0006,0.0006,-0.0048,-0.0048,0.0051,0.0051,-0.0023,-0.0023,,,0.0032,-0.0032,0.001,0.0067,-0.0027,0.0017,0.0034,0.0029,-0.0033,-0.0002,-0.0024,-0.0016
Vibration,-0.0506,-0.0394,0.0071,-0.0039,0.0014,0.0519,0.0513,1.0,0.0022,0.0045,-0.0029,-0.0003,0.0051,0.0013,0.007,-0.0114,-0.0034,-0.0412,0.0006,-0.0027,0.0056,-0.0027,0.0446,0.0501,0.0535,0.0078,-0.0213,-0.0039,-0.0031,0.0029,0.0038,0.0022,0.0003,0.0096,0.3152,0.0038,0.0038,0.0043,0.0043,0.0896,0.0891,0.0056,0.0056,,,0.0798,-0.0798,-0.0023,0.001,-0.0011,-0.0032,0.0032,0.0016,-0.0006,-0.0009,-0.0019,0.0009
Laser_Current,0.001,-0.0047,0.0032,-0.0007,-0.0028,-0.0019,0.0031,0.0022,1.0,0.0026,0.0021,-0.0016,0.0053,-0.0036,0.0003,0.002,0.0032,0.004,-0.0026,-0.0015,-0.0024,0.0014,0.0052,0.0005,0.0028,0.0024,0.0054,-0.0048,0.0006,-0.0001,0.0012,0.0037,-0.0036,0.0027,-0.001,-0.0027,-0.0027,-0.0017,-0.0017,-0.002,-0.0023,0.0022,0.0022,,,-0.0027,0.0027,0.0025,-0.0017,-0.0035,0.0043,-0.0042,0.0001,-0.0007,0.0052,0.0028,0.0004
Laser_Voltage,-0.0003,0.0025,0.0019,0.0018,-0.0005,-0.0003,0.0004,0.0045,0.0026,1.0,-0.0002,0.0001,0.0029,0.0012,-0.0001,0.0057,0.0006,0.0042,0.0022,-0.0009,0.0021,0.0032,0.0026,-0.0012,-0.001,-0.0002,0.0012,0.0,-0.0017,0.0063,-0.0037,0.0021,-0.0006,0.0029,0.0029,-0.0044,-0.0044,-0.0042,-0.0042,-0.0024,-0.0023,-0.001,-0.001,,,-0.0026,0.0026,-0.0004,0.0041,-0.0045,0.0008,0.002,0.0008,0.0002,-0.0032,-0.0061,0.0023
Beam_Diameter,-0.0012,0.0027,0.0008,-0.0007,0.0013,0.0008,-0.0045,-0.0029,0.0021,-0.0002,1.0,0.0007,-0.0005,0.0048,0.0042,0.0002,0.0058,0.001,0.0028,-0.0018,-0.0034,0.0033,0.0019,-0.0011,0.0005,0.0063,0.0016,0.001,-0.0027,0.0003,-0.0009,-0.001,0.0056,0.0016,-0.0021,-0.0013,-0.0013,0.0005,0.0005,0.0036,0.0032,0.0016,0.0016,,,0.0025,-0.0025,-0.002,-0.0027,-0.0028,-0.0027,0.0061,0.0039,0.0035,-0.0011,-0.0012,-0.0073
Alignment_Time,0.0046,0.0005,0.0004,0.0054,-0.0001,-0.002,0.0013,-0.0003,-0.0016,0.0001,0.0007,1.0,0.0062,0.0042,0.002,0.0008,-0.0003,0.0046,0.0008,-0.0018,-0.0035,-0.008,-0.0015,-0.0025,-0.0035,-0.0071,0.0024,-0.0004,0.0026,-0.002,-0.0009,-0.0017,-0.0031,-0.0031,0.0005,-0.0043,-0.0043,0.004,0.004,0.007,0.0073,0.0048,0.0048,,,0.0088,-0.0088,0.0024,-0.0003,0.0015,-0.0026,0.0045,0.0006,0.0028,-0.0032,-0.0011,0.0002
Process_Time,0.0026,-0.0038,-0.002,0.0,0.0022,-0.0022,-0.0034,0.0051,0.0053,0.0029,-0.0005,0.0062,1.0,0.0016,0.0037,0.0009,-0.0035,-0.0015,-0.0031,0.0021,0.0023,-0.0029,-0.0011,-0.0022,-0.0038,0.0014,0.0018,-0.0012,-0.0036,-0.0077,-0.0008,0.0004,-0.0036,-0.001,0.0015,-0.0005,-0.0005,-0.0004,-0.0004,0.0028,0.0031,-0.0039,-0.0039,,,0.002,-0.002,0.0016,0.0035,-0.0039,-0.0036,-0.0061,-0.0035,0.0051,-0.0054,0.0009,-0.0044
Cutting_X_Index,0.0008,0.001,-0.0037,-0.0006,-0.0012,-0.0023,-0.0019,0.0013,-0.0036,0.0012,0.0048,0.0042,0.0016,1.0,-0.0018,-0.0068,0.002,0.0043,0.0036,-0.0014,0.0002,-0.0023,-0.0023,-0.0008,-0.0013,0.0007,-0.0013,-0.0003,0.0021,-0.0011,-0.0012,0.0034,0.0021,-0.0026,-0.0009,-0.0007,-0.0007,-0.0001,-0.0002,-0.002,-0.0017,-0.0004,-0.0004,,,-0.0007,0.0007,-0.006,0.0057,0.0036,-0.0037,0.0049,-0.0008,0.0009,-0.0001,-0.0041,-0.0012
Cutting_Y_Index,-0.0024,0.0055,-0.0017,-0.0034,0.0006,-0.0028,-0.0014,0.007,0.0003,-0.0001,0.0042,0.002,0.0037,-0.0018,1.0,-0.0027,0.0044,0.0032,0.0034,0.0075,-0.0003,0.0004,0.0001,-0.0002,-0.0028,0.0055,-0.0023,0.006,0.0017,0.0047,-0.0025,0.0001,0.0032,0.0012,-0.001,0.0035,0.0035,0.0036,0.0037,-0.0045,-0.0045,-0.0025,-0.0025,,,-0.0026,0.0026,0.0014,-0.0012,-0.0063,-0.0047,-0.0005,-0.0087,0.0001,-0.0007,-0.0005,-0.0004
Cooling_Flow,-0.0001,-0.002,-0.0043,-0.0029,-0.0026,-0.0032,-0.01,-0.0114,0.002,0.0057,0.0002,0.0008,0.0009,-0.0068,-0.0027,1.0,0.0047,-0.0049,-0.0002,-0.0042,-0.0017,-0.0016,0.0,-0.002,-0.005,0.006,-0.001,0.0042,0.0045,0.0027,-0.0027,0.0056,0.0015,-0.0029,-0.0053,0.0041,0.0041,0.0003,0.0003,-0.0085,-0.0086,0.0018,0.0018,,,-0.0064,0.0064,-0.0005,-0.0021,-0.0016,-0.0052,0.0012,0.0011,-0.0006,-0.0039,-0.0004,0.0066
Cooling_Water_Temp,-0.0004,0.002,0.0024,-0.0022,0.0041,-0.0033,0.0005,-0.0034,0.0032,0.0006,0.0058,-0.0003,-0.0035,0.002,0.0044,0.0047,1.0,0.0019,0.0036,-0.0024,-0.0013,0.0034,-0.0025,0.0031,0.0006,-0.0015,-0.0018,-0.0014,-0.0036,-0.0044,-0.0016,0.0042,-0.0017,0.0069,-0.0019,0.0055,0.0055,0.0006,0.0006,-0.004,-0.0039,-0.0034,-0.0034,,,-0.0036,0.0036,0.0,-0.0044,0.0006,0.0063,-0.0016,0.0058,0.0027,-0.0024,0.005,-0.0023
CLN_Flow,-0.0293,-0.0255,0.0066,0.0056,-0.0029,0.0156,0.02,-0.0412,0.004,0.0042,0.001,0.0046,-0.0015,0.0043,0.0032,-0.0049,0.0019,1.0,0.0063,-0.0025,0.0014,-0.0024,0.0224,0.0288,0.0285,-0.0003,-0.014,-0.0062,0.0043,0.0029,0.0007,0.0007,0.0043,0.0074,-0.0164,0.0008,0.0008,-0.038,-0.0385,-0.014,-0.0144,-0.0009,-0.0009,,,-0.0216,0.0216,-0.002,-0.0009,-0.004,-0.003,0.0002,0.003,0.0038,0.0059,0.0002,-0.0028
CLN_Pressure,-0.0042,-0.001,0.0009,-0.001,0.0022,0.0022,0.0016,0.0006,-0.0026,0.0022,0.0028,0.0008,-0.0031,0.0036,0.0034,-0.0002,0.0036,0.0063,1.0,0.0053,0.0003,-0.0032,0.0026,0.0012,0.0015,0.0005,0.0036,0.0025,0.0022,-0.0005,-0.0011,-0.0005,0.0014,0.0036,-0.0003,0.0068,0.0068,-0.142,-0.1414,-0.0418,-0.0437,-0.0023,-0.0023,,,-0.073,0.073,0.0016,-0.0026,-0.0007,-0.0016,0.0016,-0.0024,-0.0038,-0.0009,-0.0006,0.0034
Coating_Flow,0.0032,0.0005,0.0006,-0.0051,-0.0038,0.0051,0.0054,-0.0027,-0.0015,-0.0009,-0.0018,-0.0018,0.0021,-0.0014,0.0075,-0.0042,-0.0024,-0.0025,0.0053,1.0,-0.0001,-0.0016,-0.0074,-0.0023,-0.0013,0.0035,0.0021,0.0001,0.0037,-0.0035,0.0011,-0.0043,-0.0025,-0.0041,0.0001,-0.0028,-0.0028,-0.0012,-0.0012,0.002,0.002,-0.0031,-0.0031,,,0.0018,-0.0018,-0.0031,-0.0017,-0.0006,0.0021,-0.0008,-0.0051,0.0032,0.0005,-0.0033,0.0018
