variable_1,variable_2,spearman_r,absolute_r
Micro_Crack,Micro_Crack_Die,1.0,1.0
Fail_Die,Yield,-1.0,1.0
Chipping,Chipping_Die,1.0,1.0
Remain_Coat,Remain_Coat_Die,0.9999,0.9999
Particle,Particle_Die,0.9976,0.9976
Edge_Burn,Edge_Burn_Die,0.9908,0.9908
Particle_Die,Fail_Die,0.912,0.912
Particle_Die,Yield,-0.912,0.912
Particle,Fail_Die,0.9095,0.9095
Particle,Yield,-0.9095,0.9095
Laser_Centering_Position,Cutting_Offset,0.8191,0.8191
Laser_Power,Top_Kerf,-0.681,0.681
Laser_Power,Bottom_Kerf,-0.6808,0.6808
Top_Kerf,Bottom_Kerf,0.6139,0.6139
Laser_Power,Kerf_Width_Profile,-0.5788,0.5788
Kerf_Width_Profile,Bottom_Kerf,0.5689,0.5689
Kerf_Width_Profile,Top_Kerf,0.5684,0.5684
Remain_Coat_Die,Yield,-0.5137,0.5137
Remain_Coat_Die,Fail_Die,0.5137,0.5137
Remain_Coat,Yield,-0.5136,0.5136
Remain_Coat,Fail_Die,0.5136,0.5136
Laser_Centering_Position,Package_Size_4,0.5021,0.5021
Laser_Centering_Position,Package_Size_1,-0.4948,0.4948
Package_Size_4,Cutting_Offset,0.4151,0.4151
Package_Size_1,Cutting_Offset,-0.4095,0.4095
Laser_Power,Groove_Depth,0.3501,0.3501
Vibration,Surface_Roughness,0.3152,0.3152
Remain_Coat_Die,Particle_Die,0.3016,0.3016
Remain_Coat,Particle_Die,0.3015,0.3015
Remain_Coat_Die,Particle,0.2857,0.2857
Remain_Coat,Particle,0.2856,0.2856
Surface_Roughness,Particle,0.2835,0.2835
Laser_Centering_Position,Package_Size_3,0.2818,0.2818
Surface_Roughness,Particle_Die,0.2805,0.2805
Laser_Centering_Position,Package_Size_2,-0.2794,0.2794
Bottom_Kerf,Groove_Depth,-0.2665,0.2665
Power_Efficiency,Bottom_Kerf,-0.2641,0.2641
Power_Efficiency,Top_Kerf,-0.2623,0.2623
Top_Kerf,Groove_Depth,-0.262,0.262
Surface_Roughness,Yield,-0.256,0.256
Surface_Roughness,Fail_Die,0.256,0.256
Package_Size_1,Package_Size_4,-0.2539,0.2539
Laser_Centering_Position,Bottom_Kerf,0.2414,0.2414
Package_Size_3,Cutting_Offset,0.2323,0.2323
Package_Size_2,Cutting_Offset,-0.2317,0.2317
Kerf_Width_Profile,Groove_Depth,-0.2269,0.2269
Power_Efficiency,Kerf_Width_Profile,-0.2245,0.2245
Bottom_Kerf,Cutting_Offset,0.2006,0.2006
Laser_Centering_Position,Top_Kerf,-0.1992,0.1992
Edge_Burn_Die,Fail_Die,0.1991,0.1991
Edge_Burn_Die,Yield,-0.1991,0.1991
Edge_Burn,Yield,-0.1969,0.1969
Edge_Burn,Fail_Die,0.1969,0.1969
Top_Kerf,Cutting_Offset,-0.1636,0.1636
Package_Size_3,Package_Size_4,0.1503,0.1503
Package_Size_1,Package_Size_3,-0.1434,0.1434
Package_Size_1,Package_Size_2,0.1427,0.1427
CLN_Pressure,Remain_Coat,-0.142,0.142
Package_Size_2,Package_Size_4,-0.1416,0.1416
CLN_Pressure,Remain_Coat_Die,-0.1414,0.1414
Bottom_Kerf,Package_Size_4,0.1229,0.1229
Bottom_Kerf,Package_Size_1,-0.1217,0.1217
Frequency,Edge_Burn,0.1127,0.1127
Frequency,Edge_Burn_Die,0.1116,0.1116
Power_Efficiency,Groove_Depth,0.1051,0.1051
Top_Kerf,Package_Size_4,-0.1026,0.1026
Top_Kerf,Package_Size_1,0.1019,0.1019
Vibration,Particle,0.0896,0.0896
Vibration,Particle_Die,0.0891,0.0891
Package_Size_2,Package_Size_3,-0.0822,0.0822
Vibration,Yield,-0.0798,0.0798
Vibration,Fail_Die,0.0798,0.0798
Chipping,Micro_Crack,0.078,0.078
Chipping,Micro_Crack_Die,0.078,0.078
Chipping_Die,Micro_Crack,0.078,0.078
Chipping_Die,Micro_Crack_Die,0.078,0.078
Coating_Thickness,Remain_Coat_Die,-0.0731,0.0731
CLN_Pressure,Fail_Die,-0.073,0.073
CLN_Pressure,Yield,0.073,0.073
Coating_Thickness,Remain_Coat,-0.0729,0.0729
Bottom_Kerf,Package_Size_3,0.0719,0.0719
Bottom_Kerf,Package_Size_2,-0.0683,0.0683
Bottom_Kerf,Kerf_Angle,0.0664,0.0664
Micro_Crack,Fail_Die,0.0624,0.0624
