variable_1,variable_2,spearman_r,absolute_r
Laser_Centering_Position,Cutting_Offset,0.8191,0.8191
Laser_Power,Top_Kerf,-0.681,0.681
Laser_Power,Bottom_Kerf,-0.6808,0.6808
Top_Kerf,Bottom_Kerf,0.6139,0.6139
Laser_Power,Kerf_Width_Profile,-0.5788,0.5788
Kerf_Width_Profile,Bottom_Kerf,0.5689,0.5689
Kerf_Width_Profile,Top_Kerf,0.5684,0.5684
Laser_Centering_Position,Package_Size_4,0.5021,0.5021
Laser_Centering_Position,Package_Size_1,-0.4948,0.4948
Package_Size_4,Cutting_Offset,0.4151,0.4151
Package_Size_1,Cutting_Offset,-0.4095,0.4095
Laser_Power,Groove_Depth,0.3501,0.3501
Vibration,Surface_Roughness,0.3152,0.3152
Laser_Centering_Position,Package_Size_3,0.2818,0.2818
Laser_Centering_Position,Package_Size_2,-0.2794,0.2794
Bottom_Kerf,Groove_Depth,-0.2665,0.2665
Power_Efficiency,Bottom_Kerf,-0.2641,0.2641
Power_Efficiency,Top_Kerf,-0.2623,0.2623
Top_Kerf,Groove_Depth,-0.262,0.262
Package_Size_1,Package_Size_4,-0.2539,0.2539
Laser_Centering_Position,Bottom_Kerf,0.2414,0.2414
Package_Size_3,Cutting_Offset,0.2323,0.2323
Package_Size_2,Cutting_Offset,-0.2317,0.2317
Kerf_Width_Profile,Groove_Depth,-0.2269,0.2269
Power_Efficiency,Kerf_Width_Profile,-0.2245,0.2245
Bottom_Kerf,Cutting_Offset,0.2006,0.2006
Laser_Centering_Position,Top_Kerf,-0.1992,0.1992
Top_Kerf,Cutting_Offset,-0.1636,0.1636
Package_Size_3,Package_Size_4,0.1503,0.1503
Package_Size_1,Package_Size_3,-0.1434,0.1434
Package_Size_1,Package_Size_2,0.1427,0.1427
Package_Size_2,Package_Size_4,-0.1416,0.1416
Bottom_Kerf,Package_Size_4,0.1229,0.1229
Bottom_Kerf,Package_Size_1,-0.1217,0.1217
Power_Efficiency,Groove_Depth,0.1051,0.1051
Top_Kerf,Package_Size_4,-0.1026,0.1026
Top_Kerf,Package_Size_1,0.1019,0.1019
Package_Size_2,Package_Size_3,-0.0822,0.0822
Bottom_Kerf,Package_Size_3,0.0719,0.0719
Bottom_Kerf,Package_Size_2,-0.0683,0.0683
Bottom_Kerf,Kerf_Angle,0.0664,0.0664
Top_Kerf,Package_Size_2,0.0607,0.0607
Top_Kerf,Kerf_Angle,0.0606,0.0606
Top_Kerf,Package_Size_3,-0.0596,0.0596
Focus,Top_Kerf,0.0554,0.0554
Kerf_Width_Profile,Kerf_Angle,0.0539,0.0539
Vibration,Bottom_Kerf,0.0535,0.0535
Focus,Vibration,0.0519,0.0519
Head_Temp,Vibration,0.0513,0.0513
Laser_Power,Vibration,-0.0506,0.0506
Focus,Bottom_Kerf,0.0504,0.0504
Vibration,Top_Kerf,0.0501,0.0501
Laser_Power,Power_Efficiency,0.0488,0.0488
