category,outcome,cramers_v
Machine_ID,Remain_Coat,0.04337901637772645
Machine_ID,Yield,0.03300828141090607
Machine_ID,NG_Code,0.02796558935814892
Product_ID,Yield,0.019731471461559586
Operator_ID,Remain_Coat,0.019426497197537505
Recipe_ID,Yield,0.019241465894785193
Operator_ID,Yield,0.01919559541597816
Shift,Yield,0.018194843079503017
Machine_ID,Particle,0.017540178980935888
Operator_ID,NG_Code,0.016770165852130127
Operator_ID,Chipping,0.015886731753197568
Operator_ID,Particle,0.015241188865862888
Operator_ID,Micro_Crack,0.012047412953203756
Product_ID,Particle,0.011605181072779469
Recipe_ID,Micro_Crack,0.01020103480272008
Recipe_ID,Chipping,0.00973565499622726
Recipe_ID,NG_Code,0.008255199237412015
Product_ID,NG_Code,0.008032853886137916
Recipe_ID,Particle,0.007310899684815181
Product_ID,Chipping,0.0070699306067064475
Shift,NG_Code,0.0062671735973698
Recipe_ID,Remain_Coat,0.005603144605022669
Product_ID,Micro_Crack,0.005363757119835114
Shift,Micro_Crack,0.004753891674667144
Machine_ID,Micro_Crack,0.004714487568796124
Product_ID,Remain_Coat,0.003917128341786478
Shift,Particle,0.003503063047602174
Shift,Remain_Coat,0.002768209991964157
Shift,Chipping,0.0022479593580170577
Machine_ID,Chipping,6.14295358753844e-05
