column,analysis_type
DateTime,categorical_association_or_excluded
Machine_ID,categorical_association_or_excluded
Product_ID,categorical_association_or_excluded
Shift,categorical_association_or_excluded
Lot_ID,categorical_association_or_excluded
Strip_ID,categorical_association_or_excluded
Recipe_ID,categorical_association_or_excluded
Operator_ID,categorical_association_or_excluded
Laser_Power,numeric_spearman
Power_Efficiency,numeric_spearman
Laser_Centering_Position,numeric_spearman
Frequency,numeric_spearman
Feed_Speed,numeric_spearman
Focus,numeric_spearman
Head_Temp,numeric_spearman
Vibration,numeric_spearman
Laser_Current,numeric_spearman
Laser_Voltage,numeric_spearman
Beam_Diameter,numeric_spearman
Alignment_Time,numeric_spearman
Process_Time,numeric_spearman
Cutting_X_Index,numeric_spearman
Cutting_Y_Index,numeric_spearman
Cooling_Flow,numeric_spearman
Cooling_Water_Temp,numeric_spearman
CLN_Flow,numeric_spearman
CLN_Pressure,numeric_spearman
Coating_Flow,numeric_spearman
CLN_Time,numeric_spearman
Laser_Head_Remain_Time,numeric_spearman
Kerf_Width_Profile,numeric_spearman
Top_Kerf,numeric_spearman
Bottom_Kerf,numeric_spearman
Kerf_Angle,numeric_spearman
Groove_Depth,numeric_spearman
Package_Size_1,numeric_spearman
Package_Size_2,numeric_spearman
Package_Size_3,numeric_spearman
Package_Size_4,numeric_spearman
Coating_Thickness,numeric_spearman
Coating_Uniformity,numeric_spearman
Cutting_Offset,numeric_spearman
Surface_Roughness,numeric_spearman
Chipping,numeric_spearman
Chipping_Die,numeric_spearman
Remain_Coat,numeric_spearman
Remain_Coat_Die,numeric_spearman
Particle,numeric_spearman
Particle_Die,numeric_spearman
Micro_Crack,numeric_spearman
Micro_Crack_Die,numeric_spearman
Laser_Paim,numeric_spearman
Laser_Paim_Die,numeric_spearman
Edge_Burn,numeric_spearman
Edge_Burn_Die,numeric_spearman
Fail_Die,numeric_spearman
Yield,numeric_spearman
NG_Code,categorical_association_or_excluded
PLC_CPU_Load,numeric_spearman
PLC_Memory,numeric_spearman
Network_Latency,numeric_spearman
LED_Brightness,numeric_spearman
Room_Noise,numeric_spearman
Door_Open_Count,numeric_spearman
Fan_RPM,numeric_spearman
Vision_Exposure,numeric_spearman
Maintenance_Count,numeric_spearman
Factory_Power,numeric_spearman
