type,column,group_key,baseline_method,baseline_value,bad_direction
A,Head_Temp,PKG_A|RCP_1,mentor_target,42.0,up
A,Vibration,PKG_A|RCP_1,opcond_OK_median,0.1539,up
A,Alignment_Time,PKG_A|RCP_1,opcond_OK_median,0.3993,up
A,Process_Time,PKG_A|RCP_1,opcond_OK_median,5.005,up
A,Cooling_Flow,PKG_A|RCP_1,opcond_OK_median,10.003,down
A,Cooling_Water_Temp,PKG_A|RCP_1,opcond_OK_median,22.001,up
A,Coating_Flow,PKG_A|RCP_1,opcond_OK_median,49.996,down
A,Groove_Depth,PKG_A|RCP_1,opcond_OK_median,44.9853,down
A,Head_Temp,PKG_A|RCP_2,mentor_target,42.0,up
A,Vibration,PKG_A|RCP_2,opcond_OK_median,0.1545,up
A,Alignment_Time,PKG_A|RCP_2,opcond_OK_median,0.4007,up
A,Process_Time,PKG_A|RCP_2,opcond_OK_median,5.001,up
A,Cooling_Flow,PKG_A|RCP_2,opcond_OK_median,9.999,down
A,Cooling_Water_Temp,PKG_A|RCP_2,opcond_OK_median,22.0015,up
A,Coating_Flow,PKG_A|RCP_2,opcond_OK_median,50.023,down
A,Groove_Depth,PKG_A|RCP_2,opcond_OK_median,44.99895,down
A,Head_Temp,PKG_A|RCP_3,mentor_target,42.0,up
A,Vibration,PKG_A|RCP_3,opcond_OK_median,0.15485,up
A,Alignment_Time,PKG_A|RCP_3,opcond_OK_median,0.4001,up
A,Process_Time,PKG_A|RCP_3,opcond_OK_median,5.001,up
A,Cooling_Flow,PKG_A|RCP_3,opcond_OK_median,9.997,down
A,Cooling_Water_Temp,PKG_A|RCP_3,opcond_OK_median,21.9925,up
A,Coating_Flow,PKG_A|RCP_3,opcond_OK_median,49.986,down
A,Groove_Depth,PKG_A|RCP_3,opcond_OK_median,44.99445,down
A,Head_Temp,PKG_A|RCP_4,mentor_target,42.0,up
A,Vibration,PKG_A|RCP_4,opcond_OK_median,0.15475,up
A,Alignment_Time,PKG_A|RCP_4,opcond_OK_median,0.40115,up
A,Process_Time,PKG_A|RCP_4,opcond_OK_median,5.003,up
A,Cooling_Flow,PKG_A|RCP_4,opcond_OK_median,9.9965,down
A,Cooling_Water_Temp,PKG_A|RCP_4,opcond_OK_median,21.9925,up
A,Coating_Flow,PKG_A|RCP_4,opcond_OK_median,50.0145,down
A,Groove_Depth,PKG_A|RCP_4,opcond_OK_median,44.9828,down
A,Head_Temp,PKG_A|RCP_5,mentor_target,42.0,up
A,Vibration,PKG_A|RCP_5,opcond_OK_median,0.15525,up
A,Alignment_Time,PKG_A|RCP_5,opcond_OK_median,0.4002,up
A,Process_Time,PKG_A|RCP_5,opcond_OK_median,5.005,up
A,Cooling_Flow,PKG_A|RCP_5,opcond_OK_median,9.9975,down
A,Cooling_Water_Temp,PKG_A|RCP_5,opcond_OK_median,21.991,up
A,Coating_Flow,PKG_A|RCP_5,opcond_OK_median,50.007,down
A,Groove_Depth,PKG_A|RCP_5,opcond_OK_median,44.9946,down
A,Head_Temp,PKG_A|RCP_6,mentor_target,42.0,up
A,Vibration,PKG_A|RCP_6,opcond_OK_median,0.1549,up
A,Alignment_Time,PKG_A|RCP_6,opcond_OK_median,0.3997,up
A,Process_Time,PKG_A|RCP_6,opcond_OK_median,5.001,up
A,Cooling_Flow,PKG_A|RCP_6,opcond_OK_median,9.999,down
A,Cooling_Water_Temp,PKG_A|RCP_6,opcond_OK_median,21.991,up
A,Coating_Flow,PKG_A|RCP_6,opcond_OK_median,49.991,down
A,Groove_Depth,PKG_A|RCP_6,opcond_OK_median,44.9891,down
A,Head_Temp,PKG_A|RCP_7,mentor_target,42.0,up
A,Vibration,PKG_A|RCP_7,opcond_OK_median,0.154,up
A,Alignment_Time,PKG_A|RCP_7,opcond_OK_median,0.3995,up
A,Process_Time,PKG_A|RCP_7,opcond_OK_median,5.004,up
A,Cooling_Flow,PKG_A|RCP_7,opcond_OK_median,9.999,down
A,Cooling_Water_Temp,PKG_A|RCP_7,opcond_OK_median,22.005,up
A,Coating_Flow,PKG_A|RCP_7,opcond_OK_median,50.0185,down
A,Groove_Depth,PKG_A|RCP_7,opcond_OK_median,44.99535,down
A,Head_Temp,PKG_A|RCP_8,mentor_target,42.0,up
A,Vibration,PKG_A|RCP_8,opcond_OK_median,0.1543,up
A,Alignment_Time,PKG_A|RCP_8,opcond_OK_median,0.3998,up
A,Process_Time,PKG_A|RCP_8,opcond_OK_median,5.002,up
A,Cooling_Flow,PKG_A|RCP_8,opcond_OK_median,9.999,down
A,Cooling_Water_Temp,PKG_A|RCP_8,opcond_OK_median,22.0025,up
A,Coating_Flow,PKG_A|RCP_8,opcond_OK_median,50.031,down
A,Groove_Depth,PKG_A|RCP_8,opcond_OK_median,44.99805,down
A,Head_Temp,PKG_A|RCP_9,mentor_target,42.0,up
A,Vibration,PKG_A|RCP_9,opcond_OK_median,0.155,up
A,Alignment_Time,PKG_A|RCP_9,opcond_OK_median,0.399,up
A,Process_Time,PKG_A|RCP_9,opcond_OK_median,5.0,up
A,Cooling_Flow,PKG_A|RCP_9,opcond_OK_median,9.997,down
A,Cooling_Water_Temp,PKG_A|RCP_9,opcond_OK_median,22.014,up
A,Coating_Flow,PKG_A|RCP_9,opcond_OK_median,50.009,down
A,Groove_Depth,PKG_A|RCP_9,opcond_OK_median,44.98555,down
A,Head_Temp,PKG_B|RCP_1,mentor_target,42.0,up
A,Vibration,PKG_B|RCP_1,opcond_OK_median,0.1552,up
A,Alignment_Time,PKG_B|RCP_1,opcond_OK_median,0.4004,up
A,Process_Time,PKG_B|RCP_1,opcond_OK_median,4.999,up
