column,matched_defect,group_key,threshold,n_NG,NG_rate_below,NG_rate_above,risky_direction
CLN_Pressure,Remain_Coat,PKG_A|RCP_1,297.00999,40,0.18584,0.01058,low_is_risky
CLN_Flow,Remain_Coat,PKG_A|RCP_1,9.692,40,0.46667,0.01742,low_is_risky
Surface_Roughness,Particle,PKG_A|RCP_1,0.60015,150,0.01108,0.21085,high_is_risky
Coating_Thickness,Remain_Coat,PKG_A|RCP_1,9.6973,40,0.33333,0.01495,low_is_risky
CLN_Pressure,Remain_Coat,PKG_A|RCP_2,296.98349,41,0.19417,0.012,low_is_risky
CLN_Flow,Remain_Coat,PKG_A|RCP_2,9.6985,41,0.54545,0.019,low_is_risky
Surface_Roughness,Particle,PKG_A|RCP_2,0.60005,177,0.01238,0.25273,high_is_risky
Coating_Thickness,Remain_Coat,PKG_A|RCP_2,9.6962,41,0.31707,0.01545,low_is_risky
CLN_Pressure,Remain_Coat,PKG_A|RCP_3,297.55051,50,0.15714,0.01069,low_is_risky
CLN_Flow,Remain_Coat,PKG_A|RCP_3,9.7395,50,0.18605,0.0239,low_is_risky
Surface_Roughness,Particle,PKG_A|RCP_3,0.60005,139,0.01643,0.20412,high_is_risky
Coating_Thickness,Remain_Coat,PKG_A|RCP_3,9.69415,50,0.35556,0.01937,low_is_risky
CLN_Pressure,Remain_Coat,PKG_A|RCP_4,297.1795,45,0.20968,0.01151,low_is_risky
CLN_Flow,Remain_Coat,PKG_A|RCP_4,9.6995,45,0.5,0.0194,low_is_risky
Surface_Roughness,Particle,PKG_A|RCP_4,0.60025,140,0.01106,0.21167,high_is_risky
Coating_Thickness,Remain_Coat,PKG_A|RCP_4,9.72375,45,0.18519,0.02034,low_is_risky
CLN_Pressure,Remain_Coat,PKG_A|RCP_5,297.00301,53,0.25862,0.01311,low_is_risky
CLN_Flow,Remain_Coat,PKG_A|RCP_5,9.7445,53,0.23684,0.02402,low_is_risky
Surface_Roughness,Particle,PKG_A|RCP_5,0.60005,150,0.01774,0.20317,high_is_risky
