defect,column,n_groups_fitted,separation_ratio_median,noise_ceiling_p95,noise_ceiling_fwer,consistency_ceiling_fwer,signal_over_noise,passes_fwer,passes_direction,threshold_median,dominant_direction,direction_consistency,has_mentor_spec,assigned_type_c
Particle,Surface_Roughness,54,17.741,2.046,2.332,0.739,8.67,True,True,0.60015,high_is_risky,1.0,False,True
Particle,CLN_Flow,53,3.526,2.046,2.332,0.739,1.72,True,True,9.7385,low_is_risky,0.868,False,True
Particle,Coating_Thickness,50,3.088,2.046,2.332,0.739,1.51,True,True,9.70855,low_is_risky,0.96,True,False
Particle,CLN_Pressure,52,2.736,2.046,2.332,0.739,1.34,True,True,296.98251,low_is_risky,1.0,False,True
Particle,Vibration,53,2.261,2.046,2.332,0.739,1.11,False,True,0.15295,high_is_risky,1.0,False,False
Particle,Coating_Flow,42,2.174,2.046,2.332,0.739,1.06,False,False,50.0635,high_is_risky,0.5,False,False
Particle,Head_Temp,40,2.044,2.046,2.332,0.739,1.0,False,False,41.903,high_is_risky,0.675,True,False
Particle,Package_Size_2,44,2.026,2.046,2.332,0.739,0.99,False,False,5.00037,low_is_risky,0.523,False,False
Particle,Cutting_Offset,41,2.008,2.046,2.332,0.739,0.98,False,False,0.02265,high_is_risky,0.585,False,False
Particle,Laser_Power,37,1.973,2.046,2.332,0.739,0.96,False,False,18.4425,high_is_risky,0.568,True,False
Particle,Cooling_Water_Temp,45,1.972,2.046,2.332,0.739,0.96,False,False,22.2145,low_is_risky,0.6,False,False
Particle,Kerf_Angle,44,1.924,2.046,2.332,0.739,0.94,False,False,90.0055,low_is_risky,0.614,False,False
Particle,Frequency,50,1.923,2.046,2.332,0.739,0.94,False,False,99.7355,low_is_risky,0.6,True,False
Particle,Cooling_Flow,48,1.883,2.046,2.332,0.739,0.92,False,False,9.962,low_is_risky,0.604,False,False
Particle,Feed_Speed,41,1.881,2.046,2.332,0.739,0.92,False,False,250.1055,low_is_risky,0.512,True,False
Particle,Laser_Current,45,1.853,2.046,2.332,0.739,0.91,False,False,8.5045,low_is_risky,0.556,False,False
Particle,Laser_Voltage,49,1.847,2.046,2.332,0.739,0.9,False,False,23.9165,low_is_risky,0.571,False,False
Particle,Package_Size_1,46,1.836,2.046,2.332,0.739,0.9,False,False,5.00006,low_is_risky,0.587,False,False
Particle,Package_Size_4,46,1.829,2.046,2.332,0.739,0.89,False,False,4.99981,high_is_risky,0.609,False,False
Particle,Laser_Head_Remain_Time,46,1.823,2.046,2.332,0.739,0.89,False,False,2034.0,low_is_risky,0.609,False,False
Particle,Alignment_Time,43,1.805,2.046,2.332,0.739,0.88,False,False,0.39355,high_is_risky,0.628,False,False
Particle,Beam_Diameter,39,1.8,2.046,2.332,0.739,0.88,False,False,35.1645,high_is_risky,0.615,False,False
Particle,CLN_Time,47,1.787,2.046,2.332,0.739,0.87,False,False,15.2125,low_is_risky,0.617,False,False
Particle,Package_Size_3,44,1.782,2.046,2.332,0.739,0.87,False,False,4.99978,high_is_risky,0.545,False,False
Particle,Focus,47,1.778,2.046,2.332,0.739,0.87,False,False,-0.0595,high_is_risky,0.596,True,False
Particle,Cutting_X_Index,43,1.776,2.046,2.332,0.739,0.87,False,False,0.0885,low_is_risky,0.558,False,False
Particle,Power_Efficiency,42,1.75,2.046,2.332,0.739,0.86,False,False,95.1095,low_is_risky,0.69,True,False
Particle,Kerf_Width_Profile,42,1.746,2.046,2.332,0.739,0.85,False,False,50.1046,high_is_risky,0.571,True,False
Particle,Coating_Uniformity,46,1.716,2.046,2.332,0.739,0.84,False,False,98.843,high_is_risky,0.522,True,False
Particle,Cutting_Y_Index,43,1.703,2.046,2.332,0.739,0.83,False,False,0.2575,high_is_risky,0.535,False,False
Particle,Process_Time,40,1.699,2.046,2.332,0.739,0.83,False,False,4.9775,low_is_risky,0.525,False,False
Particle,Bottom_Kerf,44,1.661,2.046,2.332,0.739,0.81,False,False,50.1205,high_is_risky,0.705,False,False
Particle,Top_Kerf,49,1.66,2.046,2.332,0.739,0.81,False,False,50.1288,high_is_risky,0.735,False,False
Particle,Laser_Centering_Position,41,1.642,2.046,2.332,0.739,0.8,False,False,-0.0235,high_is_risky,0.537,True,False
Particle,Groove_Depth,41,1.59,2.046,2.332,0.739,0.78,False,False,45.0345,low_is_risky,0.561,False,False
Remain_Coat,CLN_Flow,52,20.929,2.88,3.38,0.744,7.27,True,True,9.701,low_is_risky,1.0,False,True
Remain_Coat,CLN_Pressure,54,19.814,2.88,3.38,0.744,6.88,True,True,296.9915,low_is_risky,1.0,False,True
Remain_Coat,Coating_Thickness,54,18.522,2.88,3.38,0.744,6.43,True,True,9.69905,low_is_risky,1.0,True,True
Remain_Coat,Process_Time,40,2.862,2.88,3.38,0.744,0.99,False,False,4.9715,low_is_risky,0.5,False,False
Remain_Coat,Kerf_Angle,40,2.773,2.88,3.38,0.744,0.96,False,False,90.007,low_is_risky,0.525,False,False
Remain_Coat,Vibration,34,2.757,2.88,3.38,0.744,0.96,False,False,0.155,high_is_risky,0.559,False,False
Remain_Coat,Bottom_Kerf,43,2.747,2.88,3.38,0.744,0.95,False,False,50.06125,low_is_risky,0.581,False,False
Remain_Coat,Coating_Uniformity,47,2.736,2.88,3.38,0.744,0.95,False,False,98.6405,low_is_risky,0.681,True,False
Remain_Coat,Laser_Centering_Position,38,2.69,2.88,3.38,0.744,0.93,False,False,0.1225,low_is_risky,0.553,True,False
Remain_Coat,Package_Size_2,38,2.688,2.88,3.38,0.744,0.93,False,False,5.00019,high_is_risky,0.632,False,False
Remain_Coat,Alignment_Time,36,2.655,2.88,3.38,0.744,0.92,False,False,0.3984,high_is_risky,0.667,False,False
Remain_Coat,Cutting_X_Index,43,2.63,2.88,3.38,0.744,0.91,False,False,0.0915,high_is_risky,0.535,False,False
Remain_Coat,Laser_Power,36,2.614,2.88,3.38,0.744,0.91,False,True,18.48,high_is_risky,0.778,True,False
Remain_Coat,Coating_Flow,44,2.605,2.88,3.38,0.744,0.9,False,False,49.9595,high_is_risky,0.5,False,False
Remain_Coat,Head_Temp,38,2.6,2.88,3.38,0.744,0.9,False,False,41.9455,low_is_risky,0.605,True,False
Remain_Coat,CLN_Time,35,2.58,2.88,3.38,0.744,0.9,False,False,14.807,low_is_risky,0.514,False,False
Remain_Coat,Top_Kerf,39,2.557,2.88,3.38,0.744,0.89,False,False,50.0593,low_is_risky,0.692,False,False
Remain_Coat,Laser_Current,43,2.554,2.88,3.38,0.744,0.89,False,False,8.4755,high_is_risky,0.512,False,False
Remain_Coat,Laser_Voltage,37,2.515,2.88,3.38,0.744,0.87,False,False,23.9885,low_is_risky,0.622,False,False
Remain_Coat,Cutting_Y_Index,40,2.486,2.88,3.38,0.744,0.86,False,False,-0.145,high_is_risky,0.625,False,False
Remain_Coat,Surface_Roughness,34,2.467,2.88,3.38,0.744,0.86,False,False,0.59052,low_is_risky,0.676,False,False
Remain_Coat,Frequency,32,2.458,2.88,3.38,0.744,0.85,False,False,100.208,low_is_risky,0.562,True,False
Remain_Coat,Groove_Depth,38,2.456,2.88,3.38,0.744,0.85,False,False,45.02913,high_is_risky,0.553,False,False
Remain_Coat,Package_Size_1,40,2.452,2.88,3.38,0.744,0.85,False,False,4.99999,low_is_risky,0.55,False,False
Remain_Coat,Focus,43,2.448,2.88,3.38,0.744,0.85,False,False,0.0015,low_is_risky,0.512,True,False
Remain_Coat,Kerf_Width_Profile,42,2.425,2.88,3.38,0.744,0.84,False,False,50.10142,low_is_risky,0.571,True,False
Remain_Coat,Package_Size_4,43,2.412,2.88,3.38,0.744,0.84,False,False,4.99993,high_is_risky,0.535,False,False
Remain_Coat,Package_Size_3,38,2.41,2.88,3.38,0.744,0.84,False,False,4.99998,low_is_risky,0.553,False,False
Remain_Coat,Cooling_Flow,36,2.409,2.88,3.38,0.744,0.84,False,False,10.0235,high_is_risky,0.556,False,False
Remain_Coat,Feed_Speed,40,2.313,2.88,3.38,0.744,0.8,False,False,249.8295,high_is_risky,0.575,True,False
Remain_Coat,Power_Efficiency,38,2.277,2.88,3.38,0.744,0.79,False,False,94.961,high_is_risky,0.605,True,False
Remain_Coat,Beam_Diameter,37,2.248,2.88,3.38,0.744,0.78,False,False,35.0575,high_is_risky,0.514,False,False
Remain_Coat,Laser_Head_Remain_Time,38,2.245,2.88,3.38,0.744,0.78,False,False,2550.25,low_is_risky,0.579,False,False
Remain_Coat,Cooling_Water_Temp,40,2.194,2.88,3.38,0.744,0.76,False,False,21.97875,high_is_risky,0.675,False,False
Remain_Coat,Cutting_Offset,45,2.161,2.88,3.38,0.744,0.75,False,False,0.07925,low_is_risky,0.511,False,False
