Machine_ID,column,group_key,stable_days,n_ok_shots,n_in_zone,baseline_rate
DP01,CLN_Flow,PKG_A|RCP_1,89,439,0,0.0
DP01,CLN_Flow,PKG_A|RCP_2,89,432,0,0.0
DP01,CLN_Flow,PKG_A|RCP_3,89,425,0,0.0
DP01,CLN_Flow,PKG_A|RCP_4,89,394,0,0.0
DP01,CLN_Flow,PKG_A|RCP_5,89,444,0,0.0
DP01,CLN_Flow,PKG_A|RCP_6,89,391,0,0.0
DP01,CLN_Flow,PKG_A|RCP_7,89,439,0,0.0
DP01,CLN_Flow,PKG_A|RCP_8,89,441,0,0.0
DP01,CLN_Flow,PKG_A|RCP_9,89,414,0,0.0
DP01,CLN_Flow,PKG_B|RCP_1,89,439,0,0.0
DP01,CLN_Flow,PKG_B|RCP_2,89,401,0,0.0
DP01,CLN_Flow,PKG_B|RCP_3,89,419,0,0.0
DP01,CLN_Flow,PKG_B|RCP_4,89,413,0,0.0
DP01,CLN_Flow,PKG_B|RCP_5,89,417,0,0.0
DP01,CLN_Flow,PKG_B|RCP_6,89,424,0,0.0
DP01,CLN_Flow,PKG_B|RCP_7,89,394,0,0.0
DP01,CLN_Flow,PKG_B|RCP_8,89,419,0,0.0
DP01,CLN_Flow,PKG_B|RCP_9,89,422,0,0.0
DP01,CLN_Flow,PKG_C|RCP_1,89,416,0,0.0
DP01,CLN_Flow,PKG_C|RCP_2,89,435,0,0.0
DP01,CLN_Flow,PKG_C|RCP_3,89,403,0,0.0
DP01,CLN_Flow,PKG_C|RCP_4,89,401,0,0.0
DP01,CLN_Flow,PKG_C|RCP_5,89,453,0,0.0
DP01,CLN_Flow,PKG_C|RCP_6,89,383,0,0.0
DP01,CLN_Flow,PKG_C|RCP_7,89,397,0,0.0
DP01,CLN_Flow,PKG_C|RCP_8,89,430,0,0.0
DP01,CLN_Flow,PKG_C|RCP_9,89,433,0,0.0
DP01,CLN_Flow,PKG_D|RCP_1,89,423,0,0.0
DP01,CLN_Flow,PKG_D|RCP_2,89,393,0,0.0
DP01,CLN_Flow,PKG_D|RCP_3,89,410,0,0.0
DP01,CLN_Flow,PKG_D|RCP_4,89,382,0,0.0
DP01,CLN_Flow,PKG_D|RCP_5,89,407,0,0.0
DP01,CLN_Flow,PKG_D|RCP_6,89,425,0,0.0
DP01,CLN_Flow,PKG_D|RCP_7,89,396,0,0.0
DP01,CLN_Flow,PKG_D|RCP_8,89,395,0,0.0
DP01,CLN_Flow,PKG_D|RCP_9,89,437,0,0.0
DP01,CLN_Flow,PKG_E|RCP_1,89,406,0,0.0
DP01,CLN_Flow,PKG_E|RCP_2,89,425,0,0.0
DP01,CLN_Flow,PKG_E|RCP_3,89,379,0,0.0
DP01,CLN_Flow,PKG_E|RCP_4,89,452,0,0.0
DP01,CLN_Flow,PKG_E|RCP_5,89,421,0,0.0
DP01,CLN_Flow,PKG_E|RCP_6,89,406,0,0.0
DP01,CLN_Flow,PKG_E|RCP_7,89,428,0,0.0
DP01,CLN_Flow,PKG_E|RCP_8,89,460,0,0.0
DP01,CLN_Flow,PKG_E|RCP_9,89,441,0,0.0
DP01,CLN_Flow,PKG_F|RCP_1,89,456,0,0.0
DP01,CLN_Flow,PKG_F|RCP_2,89,407,0,0.0
DP01,CLN_Flow,PKG_F|RCP_3,89,429,0,0.0
DP01,CLN_Flow,PKG_F|RCP_4,89,445,0,0.0
DP01,CLN_Flow,PKG_F|RCP_5,89,423,0,0.0
DP01,CLN_Flow,PKG_F|RCP_6,89,435,0,0.0
DP01,CLN_Flow,PKG_F|RCP_7,89,415,0,0.0
DP01,CLN_Flow,PKG_F|RCP_8,89,448,0,0.0
DP01,CLN_Flow,PKG_F|RCP_9,89,400,0,0.0
DP01,CLN_Pressure,PKG_A|RCP_1,54,265,11,0.04150943396226415
DP01,CLN_Pressure,PKG_A|RCP_2,54,267,13,0.04868913857677903
DP01,CLN_Pressure,PKG_A|RCP_3,54,254,10,0.03937007874015748
DP01,CLN_Pressure,PKG_A|RCP_4,54,237,7,0.029535864978902954
DP01,CLN_Pressure,PKG_A|RCP_5,54,272,16,0.058823529411764705
DP01,CLN_Pressure,PKG_A|RCP_6,54,252,15,0.05952380952380952
DP01,CLN_Pressure,PKG_A|RCP_7,54,263,12,0.045627376425855515
DP01,CLN_Pressure,PKG_A|RCP_8,54,278,12,0.04316546762589928
DP01,CLN_Pressure,PKG_A|RCP_9,54,242,13,0.05371900826446281
DP01,CLN_Pressure,PKG_B|RCP_1,54,269,12,0.04460966542750929
DP01,CLN_Pressure,PKG_B|RCP_2,54,257,12,0.04669260700389105
DP01,CLN_Pressure,PKG_B|RCP_3,54,261,15,0.05747126436781609
