column,missing_count,missing_rate,zero_implausible_count,zero_implausible_rate,flatline_flagged_count,flatline_flagged_rate,suggested_handling
Machine_ID,0,0.0,0,0.0,0,0.0,flag_only
Product_ID,0,0.0,0,0.0,0,0.0,flag_only
Shift,0,0.0,0,0.0,0,0.0,flag_only
Lot_ID,0,0.0,0,0.0,0,0.0,flag_only
Strip_ID,0,0.0,0,0.0,0,0.0,flag_only
Recipe_ID,0,0.0,0,0.0,0,0.0,flag_only
Operator_ID,0,0.0,0,0.0,0,0.0,flag_only
Laser_Power,0,0.0,0,0.0,0,0.0,flag_only
Power_Efficiency,0,0.0,0,0.0,0,0.0,flag_only
Laser_Centering_Position,0,0.0,0,0.0,0,0.0,flag_only
Frequency,0,0.0,0,0.0,0,0.0,flag_only
Feed_Speed,0,0.0,0,0.0,0,0.0,flag_only
Focus,0,0.0,0,0.0,0,0.0,flag_only
Head_Temp,0,0.0,0,0.0,0,0.0,flag_only
Vibration,0,0.0,0,0.0,0,0.0,flag_only
Laser_Current,0,0.0,0,0.0,0,0.0,flag_only
Laser_Voltage,0,0.0,0,0.0,0,0.0,flag_only
Beam_Diameter,0,0.0,0,0.0,0,0.0,flag_only
Alignment_Time,0,0.0,0,0.0,0,0.0,flag_only
Process_Time,0,0.0,0,0.0,0,0.0,flag_only
Cutting_X_Index,0,0.0,0,0.0,0,0.0,flag_only
Cutting_Y_Index,0,0.0,0,0.0,0,0.0,flag_only
Cooling_Flow,0,0.0,0,0.0,0,0.0,flag_only
Cooling_Water_Temp,0,0.0,0,0.0,0,0.0,flag_only
CLN_Flow,0,0.0,0,0.0,0,0.0,flag_only
CLN_Pressure,0,0.0,0,0.0,0,0.0,flag_only
Coating_Flow,0,0.0,0,0.0,0,0.0,flag_only
CLN_Time,0,0.0,0,0.0,0,0.0,flag_only
Laser_Head_Remain_Time,0,0.0,0,0.0,0,0.0,flag_only
Kerf_Width_Profile,0,0.0,0,0.0,0,0.0,flag_only
Top_Kerf,0,0.0,0,0.0,0,0.0,flag_only
Bottom_Kerf,0,0.0,0,0.0,0,0.0,flag_only
Kerf_Angle,0,0.0,0,0.0,0,0.0,flag_only
Groove_Depth,0,0.0,0,0.0,0,0.0,flag_only
Package_Size_1,0,0.0,0,0.0,0,0.0,flag_only
Package_Size_2,0,0.0,0,0.0,0,0.0,flag_only
Package_Size_3,0,0.0,0,0.0,0,0.0,flag_only
Package_Size_4,0,0.0,0,0.0,0,0.0,flag_only
Coating_Thickness,0,0.0,0,0.0,0,0.0,flag_only
Coating_Uniformity,0,0.0,0,0.0,0,0.0,flag_only
Cutting_Offset,0,0.0,0,0.0,0,0.0,flag_only
Surface_Roughness,0,0.0,0,0.0,0,0.0,flag_only
Chipping,0,0.0,0,0.0,0,0.0,flag_only
Chipping_Die,0,0.0,0,0.0,0,0.0,flag_only
Remain_Coat,0,0.0,0,0.0,0,0.0,flag_only
Remain_Coat_Die,0,0.0,0,0.0,0,0.0,flag_only
Particle,0,0.0,0,0.0,0,0.0,flag_only
Particle_Die,0,0.0,0,0.0,0,0.0,flag_only
Micro_Crack,0,0.0,0,0.0,0,0.0,flag_only
Micro_Crack_Die,0,0.0,0,0.0,0,0.0,flag_only
Laser_Paim,0,0.0,0,0.0,0,0.0,flag_only
Laser_Paim_Die,0,0.0,0,0.0,0,0.0,flag_only
Edge_Burn,0,0.0,0,0.0,0,0.0,flag_only
Edge_Burn_Die,0,0.0,0,0.0,0,0.0,flag_only
Fail_Die,0,0.0,0,0.0,0,0.0,flag_only
Yield,0,0.0,0,0.0,0,0.0,flag_only
NG_Code,0,0.0,0,0.0,0,0.0,flag_only
PLC_CPU_Load,0,0.0,0,0.0,0,0.0,flag_only
PLC_Memory,0,0.0,0,0.0,0,0.0,flag_only
Network_Latency,0,0.0,0,0.0,0,0.0,flag_only
LED_Brightness,0,0.0,0,0.0,0,0.0,flag_only
Room_Noise,0,0.0,0,0.0,0,0.0,flag_only
Door_Open_Count,0,0.0,0,0.0,0,0.0,flag_only
Fan_RPM,0,0.0,0,0.0,0,0.0,flag_only
Vision_Exposure,0,0.0,0,0.0,0,0.0,flag_only
Maintenance_Count,0,0.0,0,0.0,0,0.0,flag_only
Factory_Power,0,0.0,0,0.0,0,0.0,flag_only
Cooling_Thermal_Load,0,0.0,0,0.0,0,0.0,flag_only
Laser_Cleaning_Demand,0,0.0,0,0.0,0,0.0,flag_only
Cleaning_Capacity,0,0.0,0,0.0,0,0.0,flag_only
Cleaning_Load_Ratio,0,0.0,0,0.0,0,0.0,flag_only
