Machine_ID,Product_ID,Recipe_ID,column,n,mean,std,cv,median,mad,robust_z_scale,p0_5,p99_5,min,max
DP01,PKG_A,RCP_1,Laser_Power,439,18.492945330296127,0.08120019636826381,0.00439087419110234,18.488,0.054999999999999716,0.08154299999999957,18.31257,18.71658,18.276,18.737
DP01,PKG_A,RCP_2,Laser_Power,432,18.502319444444442,0.07971759779558424,0.004308519158095093,18.5,0.053000000000000824,0.07857780000000122,18.319,18.696,18.304,18.757
DP01,PKG_A,RCP_3,Laser_Power,425,18.494522352941175,0.08050966831731414,0.0043531628868755685,18.497,0.05699999999999861,0.08450819999999792,18.28564,18.68952,18.262,18.717
DP01,PKG_A,RCP_4,Laser_Power,394,18.501624365482236,0.08213593285451479,0.0044393903601109,18.503,0.05600000000000094,0.08302560000000139,18.299580000000002,18.711209999999998,18.262,18.72
DP01,PKG_A,RCP_5,Laser_Power,444,18.503317567567567,0.07914481145675821,0.004277330871490984,18.499499999999998,0.05450000000000088,0.08080170000000131,18.32486,18.70057,18.288,18.757
DP01,PKG_A,RCP_6,Laser_Power,391,18.498335038363173,0.08189598014577384,0.004427208177164707,18.503,0.05900000000000105,0.08747340000000156,18.2954,18.6992,18.261,18.748
DP01,PKG_A,RCP_7,Laser_Power,439,18.50043507972665,0.07778500254216433,0.004204495851419384,18.5,0.054999999999999716,0.08154299999999957,18.31776,18.70991,18.277,18.768
DP01,PKG_A,RCP_8,Laser_Power,441,18.5018231292517,0.08242283173426333,0.004454849187480958,18.501,0.0519999999999996,0.0770951999999994,18.2646,18.7222,18.25,18.739
DP01,PKG_A,RCP_9,Laser_Power,414,18.49879951690821,0.08048957882861733,0.004351070390002796,18.4925,0.05599999999999916,0.08302559999999876,18.28639,18.70074,18.251,18.781
DP01,PKG_B,RCP_1,Laser_Power,439,18.50427562642369,0.08786807318845115,0.004748528121953474,18.505,0.05799999999999983,0.08599079999999974,18.30276,18.72081,18.252,18.754
DP01,PKG_B,RCP_2,Laser_Power,401,18.500713216957607,0.07316003041193501,0.00395444378570644,18.502,0.04800000000000182,0.07116480000000269,18.344,18.678,18.259,18.752
