date,value_daily_mean,cusum_neg_min,n_shots,target,control_lower,control_upper,alert_line_H,cusum_alert,value_out_of_control
2026-01-01,9.962,-0.7437,7,9.9776,9.729,10.2262,-4.5,False,False
2026-01-02,9.9926,0.0,7,9.9776,9.729,10.2262,-4.5,False,False
2026-01-03,9.9912,-0.2488,9,9.9776,9.729,10.2262,-4.5,False,False
2026-01-04,9.9993,0.0,6,9.9776,9.729,10.2262,-4.5,False,False
2026-01-05,10.0895,0.0,2,9.9776,9.729,10.2262,-4.5,False,False
2026-01-06,9.9737,0.0,6,9.9776,9.729,10.2262,-4.5,False,False
2026-01-07,10.01,0.0,4,9.9776,9.729,10.2262,-4.5,False,False
2026-01-08,9.9937,0.0,3,9.9776,9.729,10.2262,-4.5,False,False
2026-01-09,9.9833,-0.104,7,9.9776,9.729,10.2262,-4.5,False,False
2026-01-10,10.003,0.0,5,9.9776,9.729,10.2262,-4.5,False,False
2026-01-11,10.0707,0.0,3,9.9776,9.729,10.2262,-4.5,False,False
2026-01-12,10.0018,0.0,4,9.9776,9.729,10.2262,-4.5,False,False
2026-01-13,10.0178,0.0,5,9.9776,9.729,10.2262,-4.5,False,False
2026-01-14,10.0067,0.0,6,9.9776,9.729,10.2262,-4.5,False,False
2026-01-15,9.9618,0.0,4,9.9776,9.729,10.2262,-4.5,False,False
2026-01-16,10.0042,0.0,5,9.9776,9.729,10.2262,-4.5,False,False
2026-01-17,10.012,-0.1402,6,9.9776,9.729,10.2262,-4.5,False,False
2026-01-18,9.9917,-0.1885,6,9.9776,9.729,10.2262,-4.5,False,False
2026-01-19,10.0555,0.0,2,9.9776,9.729,10.2262,-4.5,False,False
2026-01-20,10.007,0.0,3,9.9776,9.729,10.2262,-4.5,False,False
2026-01-21,10.0203,0.0,4,9.9776,9.729,10.2262,-4.5,False,False
2026-01-22,10.008,0.0,4,9.9776,9.729,10.2262,-4.5,False,False
2026-01-23,9.9125,-0.1718,2,9.9776,9.729,10.2262,-4.5,False,False
2026-01-24,10.032,0.0,4,9.9776,9.729,10.2262,-4.5,False,False
2026-01-25,10.0162,0.0,5,9.9776,9.729,10.2262,-4.5,False,False
2026-01-26,10.0217,0.0,3,9.9776,9.729,10.2262,-4.5,False,False
2026-01-27,9.9952,-0.273,6,9.9776,9.729,10.2262,-4.5,False,False
2026-01-28,10.0157,0.0,6,9.9776,9.729,10.2262,-4.5,False,False
2026-01-29,9.9831,-0.1402,8,9.9776,9.729,10.2262,-4.5,False,False
2026-01-30,10.0263,0.0,4,9.9776,9.729,10.2262,-4.5,False,False
2026-01-31,9.9951,-0.2126,12,9.9776,9.729,10.2262,-4.5,False,False
2026-02-01,9.9894,0.0,5,9.9776,9.729,10.2262,-4.5,False,False
2026-02-02,10.0143,0.0,3,9.9776,9.729,10.2262,-4.5,False,False
2026-02-03,9.9963,0.0,7,9.9776,9.729,10.2262,-4.5,False,False
2026-02-04,9.9974,0.0,7,9.9776,9.729,10.2262,-4.5,False,False
2026-02-05,9.983,0.0,5,9.9776,9.729,10.2262,-4.5,False,False
2026-02-06,9.9694,-0.3092,5,9.9776,9.729,10.2262,-4.5,False,False
2026-02-07,10.028,0.0,5,9.9776,9.729,10.2262,-4.5,False,False
2026-02-08,9.9697,0.0,3,9.9776,9.729,10.2262,-4.5,False,False
2026-02-09,9.9974,0.0,7,9.9776,9.729,10.2262,-4.5,False,False
2026-02-10,10.0001,-0.454,7,9.9776,9.729,10.2262,-4.5,False,False
2026-02-11,10.0004,0.0,5,9.9776,9.729,10.2262,-4.5,False,False
2026-02-12,9.9656,-0.8161,9,9.9776,9.729,10.2262,-4.5,False,False
2026-02-13,9.987,-0.0195,2,9.9776,9.729,10.2262,-4.5,False,False
2026-02-14,9.9961,0.0,8,9.9776,9.729,10.2262,-4.5,False,False
2026-02-15,10.0012,0.0,5,9.9776,9.729,10.2262,-4.5,False,False
2026-02-16,9.9755,0.0,2,9.9776,9.729,10.2262,-4.5,False,False
2026-02-17,9.9557,-0.027,6,9.9776,9.729,10.2262,-4.5,False,False
2026-02-18,9.94,0.0,2,9.9776,9.729,10.2262,-4.5,False,False
2026-02-19,9.9509,-0.2126,9,9.9776,9.729,10.2262,-4.5,False,False
2026-02-20,9.9408,-0.3241,4,9.9776,9.729,10.2262,-4.5,False,False
